"","allsp","","","","","","","","","abund"
"1","AFROKA","0.983992677561519","1.01039529260748","1.01283137093047","1.01634390307586","1.0131857910344","1.01384764557137","1.0154451746907","1.01608892510131","1277"
"2","AFZEBI","0.973553993668871","1.05882384850972","1.03149153881254","1.08228227077343","1.04543206435907","1.03974958505015","1.05776989167017","1.03508865851099","8"
"3","ALBIGL","0.827580677604807","0.880023667809183","0.889539061297542","0.884583737824034","0.888403931510564","0.907519682185219","0.898308192220497","0.89347573743223","32"
"4","ALLO02","1.04212878796545","1.04567603104517","0.98371797354754","0.972927815146323","0.983714041524353","1.01169978374835","1.00747084493335","0.995093915596394","28"
"5","AMANST","0.934198186778791","0.952178216591929","0.960482711351903","0.971412242635795","0.979192966781957","0.985715520769451","0.989970374415998","0.99333005806056","1636"
"6","ANGY02","1.04052572327852","1.02563299741641","1.03861679291445","1.03764981779095","1.02980497144999","1.02567288764451","1.02417974954337","1.02218230055446","742"
"7","ANGY03","0.873795645494584","0.916573449434348","0.979742672644493","0.983997309834468","0.990334784550972","0.984669625194501","0.985335874689928","1.00239026784342","16"
"8","ANIS03","1.00415736125658","1.02424874589937","1.03112550115117","1.03013669568282","1.03377897082843","1.02777351213782","1.0260612975739","1.02167192108722","328"
"9","ANISGL","1.0758013500702","1.07758043258062","1.06504342880669","1.06583272398866","1.05800912808624","1.04645334777163","1.04196713931701","1.0378021894138","860"
"10","ANISPU","1.02093307734157","1.01916711774451","1.01492744787482","1.01242111031417","1.00515545123492","1.00469561169244","1.00684815094746","1.00547434845347","342"
"11","ANISSP","1.13810079094014","1.09939751619735","1.07740548341721","1.06722673540557","1.05907669927597","1.05599239408089","1.04773302045622","1.04225930511242","280"
"12","ANNICH",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"13","ANNO02","0.951997161243523","0.960708385480457","0.959764118828013","0.967292867930164","0.965949347623075","0.964371303406861","0.965918695935651","0.96659785705899","473"
"14","ANNO03",NA,NA,NA,NA,NA,NA,NA,NA,"4"
"15","ANOPKL",NA,NA,NA,NA,NA,NA,NA,NA,"5"
"16","ANTHAU","0.816470065764622","0.833114646849852","0.857207657359941","0.876572489851887","0.896827724384177","0.92078452017606","0.936254516633935","0.951152214647077","1059"
"17","ANTHCP","0.979954177509901","0.995087508867544","1.00766019690737","1.00375935764278","0.998746364909553","0.9947092953075","0.994723561170396","0.993029625101144","349"
"18","ANTHVO","0.682893241170908","0.667846039212864","0.684808806854194","0.704080310770795","0.734770881236581","0.760976609701821","0.777438382918142","0.792539474201916","158"
"19","ANTIVO","0.780948529912167","0.809599230409136","0.830620675653881","0.866146275529375","0.889751179224862","0.920397390888395","0.946384783587722","0.960319185991829","285"
"20","APOC02","0.986796706440149","1.01263934282292","1.00726513037962","1.03130456903108","1.03577550412994","1.03515339718713","1.04486027234541","1.03541303967827","40"
"21","ARDI02","0.996864609674127","0.990656011482597","0.970353444837038","1.00014189105802","1.02373035285447","1.04313114857917","1.04912232872291","1.05293124446208","41"
"22","ARGO02","0.99429550304948","0.97449276485877","1.00393853731353","1.00370886387451","0.993225510878409","0.996731113230297","0.990806520438362","0.992481134813537","58"
"23","AUCOKL","0.692526632519971","0.802721886164489","0.922810894902764","1.04861853632423","1.07157870730215","1.08462120981919","1.08046498827203","1.08467204886469","8"
"24","AULAGL","1.10736963106637","0.976464073672699","0.900741102065948","0.959425779473538","0.98876823946844","1.00529048529172","1.02313879204454","1.04133242353901","4"
"25","AULAJA","0.889452750789115","0.927766804135551","0.970448782447747","0.984821952581286","1.01423981046572","1.02956265569176","1.0405612578238","1.03760928106766","50"
"26","BAIK02","0.902584236839727","0.964544368423796","0.998065140087727","1.01137382561788","0.99752015795604","0.987195150770456","0.986352024478862","0.983399282313762","55"
"27","BAILTO",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"28","BALAWI","1.14288531160993","0.968072350303527","0.95714862248097","0.996526103493382","1.01440111742358","1.01880307046615","1.01216752369833","1.0204039148422","9"
"29","BAPH02","1.06062960943301","1.050039865518","1.03704200386325","1.03046345835513","1.02890530261134","1.02306730467086","1.01953507795781","1.01815487825401","1445"
"30","BAPHGF","0.848416275940674","0.849399150511957","0.854603182388996","0.858048666320141","0.866865611172557","0.874799680442157","0.886867646860401","0.901538736014158","245"
"31","BARTFI",NA,NA,NA,NA,NA,NA,NA,NA,"5"
"32","BEIL02","1.06992297165332","1.05871478942878","1.04328797242453","1.03759003127578","1.02849319731945","1.02395494286051","1.02400830938154","1.0218029549569","602"
"33","BEIL03","1.09991381469366","1.07290317088419","1.05203205851632","1.03389360968985","1.02339646459471","1.01672733079246","1.01696486364361","1.01124662589958","230"
"34","BEIL04","0.926921470621707","0.910862834860565","0.996289244063036","1.02213209395759","1.02874630022363","1.01611390176993","1.00552451356975","1.04922648264133","5"
