"","x"
"ACACCO",2731676.07335307
"ACROPE",49231.8984744056
"ADENMI",11499.014510302
"ADINPI",1073987.2207507
"AIDICA",186142.506317849
"AIDIPY",25068.3385793198
"AILAFO",65597.2400051183
"ALANCH",84250.4463858077
"ALLELE",45243.6466006734
"ANTICH",67190.0274804883
"ANTIFO",24648.1505619021
"ANTIJA",4947.22303124053
"ANTIVE",11005.7844636884
"APORDI",11012107.704302
"AQUISI",507089.182604909
"ARCHCL",918957.477277675
"ARCHLU",306921.821283272
"ARDIHA",19786.5359304719
"ARDIQU",2065566.53920692
"ARTOHY",426902.38631652
"ARTOST",1446366.481166
"ARTOTO",67275.6358802986
"BISCJA",123473.230665876
"BLASCO",157902.72995473
"BREYFR",7493.48387697505
"BRIDIN",424189.621060145
"CALLBR",12754.0807754112
"CALLKO",1256.63706143592
"CAMECA",87616.6629141291
"CAMEKI",1963.49540849362
"CANAAL",441795.891689025
"CANTDI",32658.4264303927
"CARABR",741096.209194688
"CASEVE",435353.270554676
"CASTCA",2450119.47115488
"CASTFA",1810407.95467868
"CASTFI",27874132.6773526
"CASTLA",3115196.99211433
"CELTTI",50980.9801842918
"CHOEAX",47295.1066034675
"CINNCA",1204195.24066771
"CINNPA",7562873.01931306
"CLEINE",2332522.58954755
"CRATCO",1188849.34595308
"CROTLA",10068.0190565919
"CRYPCO",1122.33397549495
"CUNNLA",861063.422459158
"DAPHCA",474342.791580216
"DAPHOL",184423.269738172
"DENDHO",44844.6643336675
"DICHFE",23830.5510738054
"DIOSER",882452.956041125
"DIOSKA",21124.0690027378
"DIOSMO",37191724.9945687
"DIPLDU",259264.646126478
"EHRELO",569328.06006334
"ELAECH",63576.4105306966
"ELAENI",185145.836048497
"ELAESY",237505.975407715
"ENDOCH",530.929158456675
"ENGERO",31357068.0121348
"EUON01",271624.457023864
"EURYDI",134170.353651349
"EURYNI",1700154.54589911
"EUSTOB",132826.537393776
"FICUFI",993562.448818798
"FICUHI",14190.5740162651
"FICUNE",42273.2707467043
"FICUPY",11014.4238434858
"FICUSU",278745.662171388
"FICUV1",573837.816317568
"FICUV2",118957.191226341
"FICUV3",142842.720171584
"FORTHI",10402.5986741992
"GARCOB",6941641.9216216
"GARDJA",34718.5258129842
"GIROSU",102504.670499491
"GLOCER",38108.3042862076
"GLOCHI",101663.509066492
"GLOCLA",121335.376865108
"GLOCWR",249564.97880852
"GLOCZE",34835.5501393304
"HELICO",22965.8276959048
"HOMACO",103899.537637685
"HUODBI",98896.5513368433
"ILEX01",14383064.8959377
"ILEXAS",361113.509159532
"ILEXFI",403161.370633342
"ILEXKW",271444.600844446
"ILEXPU",928532.266287653
"ILEXRO",403700.939171596
"ITEACH",8358888.19508331
"IXONRE",1610094.50929865
"LASICH",761.836218495525
"LASIFO",2737.8979976035
"LIQUFO",816552.552344935
"LITHCO",316143.966517885
"LITHEL",2511997.85085631
"LITHGL",633547.711689859
"LITSCU",70321.4099579539
"LITSGL",254416.383263826
"LITSRO",49784.8187814375
"MACASA",132824.181199286
"MACHBR",3356818.45389825
"MACHC1",54683.3471265473
"MACHCH",153602557.200405
"MACHGA",13531462.3797548
"MACHPA",64377054.0578438
"MACHVE",2098369.47889937
"MAESPE",24849.9978898953
"MAGNCH",25623.6150808418
"MALLHO",28519.3781092881
"MALLPA",1452.20120412188
"MELASA",207897.250045795
"MELIPT",431608.492111597
"MELIRI",1459291.77874103
"MYRIRU",450813.048002992
"MYRSSE",212433.709837578
"OLEATS",8221.54797444449
"ORMOPA",166557.032317207
"OSMAMA",288871.015293908
"PAVEHO",18192.9630569385
"PHYLEM",29677.8404002994
"PINUMA",735804.196369716
"PITTGL",1600.641457004
"PRUNPH",6971.19409831575
"PSYCAS",12520893.704504
"PYGETO",22610.8277260491
"REEVTH",2920520.34935301
"RHAPIN",7491.91308064826
"RHODTO",76460.0820030684
"RHUSSU",649455.951489474
"SAPIDI",565779.63116111
"SARCLA",598505.601833555
"SAURTR",257950.674999114
"SCHEHE",9853312.40446944
"SCHISU",4863817.67327853
"SCOLSA",18186.6798716313
"SINOWI",236623.187872056
"SLOASI",726306.376379751
"STERLA",9339739.76002568
"SYMPCO",2828.21878639421
"SYMPGL",68617.0959433815
"SYMPLA",1866433.54726647
"SYZYBU",490.873852123405
"SYZYCH",110075.908794643
"SYZYHA",3775405.04446072
"SYZYJA",7517.04582187698
"SYZYLE",523660.298454432
"SYZYRE",302562.861476416
"TERNLU",74104.6729110394
"TURPAR",52378.9889151392
"TURPMO",36185.6495822106
"VIBUOD",179484.686086729
"VIBUSE",4395.87352053552
"VITEQU",1171791.28324225
"WIKSNU",35321.7116024734
"ZANTAV",709548.33576734
