"","x"
"1","ACACCO"
"2","ACROPE"
"3","ADENMI"
"4","ADINPI"
"5","AIDICA"
"6","AIDIPY"
"7","AILAFO"
"8","ALANCH"
"9","ALCHTR"
"10","ALLELE"
"11","ANTICH"
"12","ANTIFO"
"13","ANTIJA"
"14","ANTIVE"
"15","APORDI"
"16","AQUISI"
"17","ARCHCL"
"18","ARCHLU"
"19","ARDIHA"
"20","ARDILI"
"21","ARDIQU"
"22","ARTOHY"
"23","ARTOST"
"24","ARTOTO"
"25","BISCJA"
"26","BLASCO"
"27","BREYFR"
"28","BRIDIN"
"29","BRIDTO"
"30","CALLBR"
"31","CALLFO"
"32","CALLKO"
"33","CALLRU"
"34","CAMECA"
"35","CAMEKI"
"36","CANAAL"
"37","CANTDI"
"38","CARABR"
"39","CASEVE"
"40","CASTCA"
"41","CASTFA"
"42","CASTFI"
"43","CASTLA"
"44","CELTTI"
"45","CHOEAX"
"46","CINNCA"
"47","CINNPA"
"48","CLEINE"
"49","CLERCY"
"50","CRATCO"
"51","CROTLA"
"52","CRYPCO"
"53","CUNNLA"
"54","DAPHCA"
"55","DAPHOL"
"56","DENDHO"
"57","DENDPR"
"58","DICHFE"
"59","DIOSER"
"60","DIOSKA"
"61","DIOSMO"
"62","DIPLDU"
"63","EHRELO"
"64","ELAECH"
"65","ELAENI"
"66","ELAESY"
"67","ENDOCH"
"68","ENGERO"
"69","EUON01"
"70","EURYDI"
"71","EURYNI"
"72","EUSTOB"
"73","FICUFI"
"74","FICUHI"
"75","FICUNE"
"76","FICUPY"
"77","FICUSU"
"78","FICUV1"
"79","FICUV2"
"80","FICUV3"
"81","FORTHI"
"82","GARCOB"
"83","GARDJA"
"84","GIROSU"
"85","GLOCER"
"86","GLOCHI"
"87","GLOCLA"
"88","GLOCWR"
"89","GLOCZE"
"90","HELICO"
"91","HOMACO"
"92","HUODBI"
"93","ILEX01"
"94","ILEXAS"
"95","ILEXFI"
"96","ILEXKW"
"97","ILEXPU"
"98","ILEXRO"
"99","ITEACH"
"100","IXONRE"
"101","LASIAT"
"102","LASICH"
"103","LASIFO"
"104","LIQUFO"
"105","LITHCO"
"106","LITHEL"
"107","LITHGL"
"108","LITHHA"
"109","LITSCU"
"110","LITSGL"
"111","LITSRO"
"112","MACASA"
"113","MACHBR"
"114","MACHC1"
"115","MACHCH"
"116","MACHGA"
"117","MACHPA"
"118","MACHVE"
"119","MAESPE"
"120","MAGNCH"
"121","MALLHO"
"122","MALLPA"
"123","MELASA"
"124","MELIPT"
"125","MELIRI"
"126","MICRNE"
"127","MYRIRU"
"128","MYRSSE"
"129","OLEATS"
"130","ORMOPA"
"131","OSMAMA"
"132","PAVEHO"
"133","PHYLEM"
"134","PICRQU"
"135","PINUMA"
"136","PITTGL"
"137","POLYAX"
"138","PRUNPH"
"139","PSYCAS"
"140","PYGETO"
"141","REEVTH"
"142","RHAPIN"
"143","RHODCH"
"144","RHODTO"
"145","RHUSSU"
"146","SAPIDI"
"147","SARCLA"
"148","SAURTR"
"149","SCHEHE"
"150","SCHISU"
"151","SCOLSA"
"152","SINOWI"
"153","SLOASI"
"154","STERLA"
"155","STYROD"
"156","SYMPCO"
"157","SYMPGL"
"158","SYMPLA"
"159","SYZYBU"
"160","SYZYCH"
"161","SYZYHA"
"162","SYZYJA"
"163","SYZYLE"
"164","SYZYRE"
"165","TERNLU"
"166","TURPAR"
"167","TURPMO"
"168","VIBUOD"
"169","VIBUSE"
"170","VITEQU"
"171","WIKSNU"
"172","ZANTAV"
