"","allsp","","","","","","","","","","","","","","","","","","","","","","","","","abund"
"1","ACACCO","1.0482449491284","1.0083729912804","1.07504280695619","1.09412980493664","1.13246818629984","1.1257124614848","1.09910089771491","1.11499329332619","0.766","0.948","0.42","0.274","0.06","0.048","0.092","0.024","0.308575019376926","0.0607175382345769","0.796716122434226","1.15587207695731","1.87802262374913","1.9765374794004","1.71932636133558","2.16792390735078","24"
"2","ACROPE","0.729323550009651","0.887798842919943","0.941904015573468","0.981998041293075","0.98688346031812","0.990920970739085","0.982984304354104","0.980022852187451","0.02","0.222","0.48","0.858","0.886","0.926","0.786","0.71","-2.08644136953646","-1.17080361801311","-0.69766718795722","-0.22826978289073","-0.197968225639037","-0.141587451585254","-0.315146346792583","-0.408664222692063","23"
"3","ADENMI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"4","ADINPI","0.693031978447081","0.703243132274267","0.722517183347186","0.749965385705347","0.774261859712062","0.790752165139045","0.803426173088036","0.817652831723005","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","-8.3067981178064","-10.7817665507001","-12.0287419738006","-12.2959208397892","-12.1024322734207","-11.9796968475647","-11.9282394253805","-11.7292236442892","268"
"5","AIDICA","0.82095601439525","0.760448506950203","0.727002588552956","0.756888949246563","0.787796438354981","0.805671197255255","0.827595382235415","0.843127877275714","0.004","0.002","0.002","0.002","0.002","0.002","0.002","0.002","-2.49942258954903","-4.27378079003801","-5.58695104264704","-5.50918993389803","-5.13960265846715","-5.04265365042215","-4.76158272319048","-4.59388818529269","80"
"6","AIDIPY","1.16004836294102","1.03848810578791","1.02406930292602","1.07151974847251","1.07704850650721","1.06028722516132","1.03127137447658","1.019369774531","0.368","0.718","0.82","0.508","0.45","0.516","0.72","0.804","0.955945575477177","0.316893508927166","0.222152236038408","0.684784268228198","0.79901947682966","0.679430230620996","0.38818341626497","0.267583189393404","12"
"7","AILAFO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"8","ALANCH","0.720824629028543","0.750518825109947","0.824181399829423","0.867107018180249","0.850388897201829","0.889042176497948","0.867219239762038","0.892359497511727","0.462","0.348","0.488","0.504","0.432","0.548","0.436","0.518","-0.821733278690121","-0.93040719150221","-0.729698011077344","-0.629430395421961","-0.754348356986244","-0.602656289981641","-0.755134514013761","-0.645004418812489","4"
"9","ALCHTR","0.926508221606483","0.688952919106357","0.8266196250352","0.98667319369368","1.08813811087642","1.11024272627658","1.11660570465808","1.04730047061612","0.944","0.312","0.48","0.952","0.696","0.576","0.486","0.87","-0.193432546075965","-1.10814192417663","-0.718596264682663","-0.0679358980261665","0.454216373342385","0.614648214238859","0.720487112725856","0.288195093139004","2"
"10","ALLELE","0.881069189069952","0.956750006782373","0.958185300509304","0.970410411793021","0.983351400529719","0.988937281250971","0.978890320505303","0.961985922249499","0.12","0.484","0.39","0.482","0.71","0.786","0.474","0.148","-1.49631318995759","-0.716706378112099","-0.859889547530271","-0.68321446719399","-0.41255365428593","-0.292141005267313","-0.679936190877494","-1.39919522011574","63"
