"","allsp","","","","","","","","","abund"
"1","ACACCO",NA,NA,NA,NA,NA,NA,NA,NA,"24"
"2","ACROPE","0.729323550009651","0.887798842919943","0.941904015573468","0.981998041293075","0.98688346031812","0.990920970739085","0.982984304354104","0.980022852187451","23"
"3","ADENMI",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"4","ADINPI","0.693666741492922","0.703850581894995","0.723226069397317","0.75036404374905","0.774803633789793","0.791098289480779","0.803785475327901","0.818052358946314","268"
"5","AIDICA","0.82095601439525","0.760448506950203","0.727002588552956","0.756888949246563","0.787796438354981","0.805671197255255","0.827595382235415","0.843127877275714","80"
"6","AIDIPY","1.16004836294102","1.03848810578791","1.02406930292602","1.07151974847251","1.07704850650721","1.06028722516132","1.03127137447658","1.019369774531","12"
"7","AILAFO",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"8","ALANCH","0.67943128028521","0.562255227936023","0.644264117217165","0.601788078834238","0.594356612018033","0.695335370310384","0.698616934162989","0.71955728769742","4"
"9","ALCHTR","0.926508221606483","0.688952919106357","0.8266196250352","0.98667319369368","1.08813811087642","1.11024272627658","1.11660570465808","1.04730047061612","2"
"10","ALLELE","0.881069189069952","0.956750006782373","0.958185300509304","0.970410411793021","0.983351400529719","0.988937281250971","0.978890320505303","0.961985922249499","63"
"11","ANTICH","0.81468519236822","0.738916773699075","0.650710736424468","0.64226261166515","0.661850073356021","0.674325975026516","0.688325859985296","0.705978504379968","8"
"12","ANTIFO","0.821495233547183","0.828326249787208","0.898588213146437","0.931358057526142","0.939317621059454","0.940642290449263","0.958422738541057","0.965432310639597","32"
"13","ANTIJA","0.928002425026874","0.799103188418319","0.807604405843455","0.791524602231056","0.792862488682819","0.800052202450066","0.799375189346349","0.831723564714963","23"
"14","ANTIVE","0.967682671879224","0.88942641938803","0.913412596685717","0.921615371690902","0.914566911378582","0.89085667242894","0.880245133362438","0.884220005354347","50"
"15","APORDI","1.00793877739821","0.994695096286193","0.994988979093096","0.996334572625188","0.998522078507422","1.00072619988767","1.00025831629212","1.00054551954725","3789"
"16","AQUISI","0.967880917335265","0.933712232534369","0.926711304036926","0.934595887011528","0.939115483328806","0.95427200964806","0.970341350121851","0.974917017803941","78"
"17","ARCHCL","0.742257279710997","0.764661346664645","0.778176531864618","0.801564208448648","0.817172298251339","0.836919803063579","0.852254203392898","0.865889055944104","153"
"18","ARCHLU","0.80741358884888","0.845733748594359","0.890837580739662","0.912011120496621","0.92407452751459","0.938355714948682","0.945531387262887","0.951163757624057","259"
"19","ARDIHA","0.795739872146547","0.847660025763951","0.845705379813577","0.847621603497968","0.855911313096326","0.878703591569075","0.899144208704649","0.909361509164785","48"
"20","ARDILI",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"21","ARDIQU","1.21160427690258","1.08484376383252","1.0462877805206","1.02578466418584","1.0084348135584","0.992313380786796","0.984595939566412","0.981589216437835","4142"
"22","ARTOHY","1.04751521221698","1.16242009444252","1.1596523242976","1.13963304852244","1.1052664374256","1.07115001226322","1.06309889217689","1.05083440198496","28"
"23","ARTOST","0.869555274369985","1.00704589046597","1.02517366775989","1.01890576021777","1.0329299420809","1.01800458742496","1.01916963110308","1.02153901135699","41"
"24","ARTOTO","1.49167677610695","1.29045171995814","1.24521863551759","1.22101553070333","1.16559344495153","1.12829278235625","1.11748933168698","1.06733770387959","4"
"25","BISCJA","0.66092570780316","0.770793246720975","0.656961455140722","0.67343508026936","0.725845743523761","0.785793208527449","0.805238558994982","0.840124686625411","11"
