"","allsp","","","","","","","","","","","","","","","","","","","","","","","","","abund"
"1","ACACCO","1.05628237424308","1.02144572257507","1.05308381268882","0.9779401569708","0.978018093362645","0.971224221915235","0.970534418393485","1.00384329287726","0.578","0.752","0.346","0.622","0.522","0.342","0.27","0.85","0.559674408920964","0.268772129853028","0.907621450788528","-0.49589643468517","-0.624609084539226","-0.905550938121004","-1.12023190564947","0.180313551766667","24"
"2","ACROPE","0.879493294780525","0.935547139622057","1.03448491488914","1.03137205572832","1.03432190454428","1.03734657049053","1.03989231881355","1.04357521391457","0.248","0.288","0.49","0.446","0.336","0.226","0.146","0.08","-1.1864760301527","-0.975819269204207","0.673805969301482","0.737219511446492","0.943495818416342","1.16275800820062","1.3757720012907","1.67859255034827","23"
"3","ADENMI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"4","ADINPI","0.86191192508687","0.911364202439613","0.948522110958895","0.982072920651414","0.993125285454869","0.995588899484289","0.998888354572187","0.998248456882383","0.002","0.004","0.004","0.15","0.538","0.664","0.94","0.828","-4.38856387407428","-4.20967089400582","-3.27086393382386","-1.36877330922577","-0.58947985719216","-0.42265223846034","-0.0914242805764204","-0.194244686918889","268"
"5","AIDICA","0.89923445649983","0.899272848775447","0.916546440891997","0.959195383164972","0.986645108658605","1.00426988662109","1.02235063074593","1.0294146524712","0.112","0.014","0.006","0.088","0.508","0.824","0.18","0.044","-1.6495317477727","-2.62768522778339","-2.81867623240772","-1.72477671207835","-0.659305782492234","0.227125531026452","1.35055426764211","1.97343194938445","80"
"6","AIDIPY","1.13832720019254","1.06955701252522","1.01241514550185","1.04819524683811","1.09245880328826","1.10233836215714","1.07404737890501","1.0985482476201","0.31","0.454","0.924","0.494","0.12","0.044","0.1","0.016","0.966745934733493","0.703337495957063","0.106202252547023","0.717864158652397","1.64073829174957","2.04601849648494","1.6600373744406","2.43735966075211","12"
"7","AILAFO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"8","ALANCH","1.43859688088606","1.35398860166974","1.42720129224766","1.42945304266848","1.40545258833317","1.53610391792807","1.47251261137943","1.48394882202251","0.13","0.064","0.006","0.002","0.002","0.002","0.002","0.002","1.57254047647322","1.87027996116283","2.90778273149732","3.46923112869394","3.67805228457038","5.61455488867714","5.35473092065325","5.77831529449849","4"
"9","ALCHTR","1.11443690393703","0.938133337897665","1.06470780436665","1.41097561475928","1.41839072011082","1.42377466619505","1.49286196808001","1.43576849399787","0.85","0.848","0.728","0.002","0.002","0.002","0.002","0.002","0.322814386099531","-0.319708029048685","0.370210750326982","2.85832398006526","3.42932904609485","3.79728414011956","4.88026503442839","4.85876703201292","2"
"10","ALLELE","1.00293382413679","1.08874561660792","1.06565636098696","1.07510521405908","1.04760240996464","1.05611438205168","1.06483325960831","1.0543126220521","0.952","0.02","0.028","0.002","0.028","0.006","0.002","0.002","0.06827076122174","2.34185063937461","2.34072009946424","3.18720330640031","2.32720356971997","3.00955388066378","3.86928023574747","3.56069899022913","63"
"11","ANTICH","1.08884141404455","1.08975406405163","1.00890157569431","0.968671918060317","0.992543252558364","1.02368746868989","1.04760707436515","1.05900044198877","0.638","0.48","1","0.622","0.848","0.66","0.31","0.168","0.444422275977094","0.676345958627638","0.0494747138977033","-0.45019109217021","-0.14626196785879","0.43429948682399","0.978096235990026","1.39184400661343","8"
"12","ANTIFO","1.03674077138394","0.924578160280765","0.97782705978453","0.976197343037242","0.978930957099868","1.00935557117055","1.02100487246216","1.00789353769154","0.712","0.15","0.61","0.498","0.474","0.72","0.414","0.724","0.408661288138534","-1.41191117553996","-0.542993410016596","-0.684609423134013","-0.677728300929203","0.339326410323783","0.878349497732872","0.364735116963494","32"
