"","allsp","","","","","","","","","abund"
"1","ACACCO",NA,NA,NA,NA,NA,NA,NA,NA,"24"
"2","ACROPE","0.843873682776747","0.896725182393721","0.992154760426086","0.99044314280882","0.99207073380603","0.995105368487459","0.997312855304271","1.0003655201953","23"
"3","ADENMI",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"4","ADINPI","0.867879865446738","0.906845377319775","0.946869721280121","0.978637521983032","0.990393788550309","0.993122854741239","0.995398453334133","0.995225482165443","268"
"5","AIDICA","0.888407080348438","0.889843118655407","0.905195715192458","0.947803974674032","0.974517732127152","0.992455950734005","1.00968670449964","1.01686279784323","80"
"6","AIDIPY","1.04560107346831","0.986438321477977","0.933522867583047","0.965266302175354","1.00769882977822","1.01870246981654","0.992384762143324","1.01555259691176","12"
"7","AILAFO",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"8","ALANCH","0.633201304125239","0.928352273475461","0.927763907378368","0.949991802671206","0.97320227662712","1.20924016886986","1.1765418891073","1.11058601134216","4"
"9","ALCHTR","0.753963406087189","0.629278310504586","0.710896233026698","0.940353679384179","0.946254507568235","0.949609030923793","0.995987555054946","0.95966835254079","2"
"10","ALLELE","0.984439767914031","1.06785069393842","1.04573404348273","1.05584964047219","1.02909415959091","1.03810290070644","1.04657037725693","1.03642336300904","63"
"11","ANTICH","1.21866996937473","1.10380933072079","0.933722275064626","0.889755681840442","0.935252553704594","0.941747640781923","0.969257134984105","0.975535627879418","8"
"12","ANTIFO","1.00629487651681","0.897518605036202","0.94898463671815","0.947203135945597","0.949662986946684","0.979419758991419","0.989284705115437","0.97699673433795","32"
"13","ANTIJA","1.11446872384769","0.978190046538763","0.980883133933795","1.0312433903814","1.00819804465308","1.02887693428221","1.026869538072","1.03857086958804","23"
"14","ANTIVE","1.11428441697598","1.00005459390508","1.03180592378759","1.08192095899314","1.04559404395554","1.04600362979956","1.03375294031904","1.02790944994334","50"
"15","APORDI","1.06386086322918","1.034250481716","1.02076179835252","1.01487374419621","1.01151876015267","1.00918678254447","1.00668919594361","1.00614611949283","3789"
"16","AQUISI","0.950051075702516","0.968087493197441","0.956297583987383","0.958042118352732","0.978161823311594","1.00741897376313","1.03351391556642","1.01841701384421","78"
"17","ARCHCL","0.906630477172523","0.948683902990248","0.966101241292116","0.987153025302245","1.00367791448598","1.01691021713895","1.01872655514341","1.01658029398965","153"
"18","ARCHLU","0.895819467551939","0.973654113783508","1.00788207763443","1.02219214485836","1.024848607146","1.02798572524244","1.01865244080369","1.01117196008942","259"
"19","ARDIHA","0.942392547053953","0.958178437698063","0.93404935905579","0.939802105110574","0.953614784501947","0.970715829077013","0.983049233954513","0.9915983150327","48"
"20","ARDILI",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"21","ARDIQU","1.04139957478671","0.997073250585663","0.994857689306292","0.997409456260537","1.00260636289112","1.00698106396049","1.01137662779068","1.01644301388915","4142"
"22","ARTOHY","1.25002811702085","1.13818487330236","1.08143917651587","1.02098581015453","1.01882795813705","1.0106650433997","0.98142785570238","1.00593324171493","28"
"23","ARTOST","0.899244995961813","0.936769214675478","0.993537743728691","0.996051343120013","1.02340538507762","1.01548171185615","1.00495294282214","1.00017680679065","41"
"24","ARTOTO",NA,NA,NA,NA,NA,NA,NA,NA,"4"
"25","BISCJA","0.895596198281733","1.19531140588699","1.09779104745058","1.06586747049172","1.04724163645829","1.01887341222626","1.01980663338727","1.02620068944849","11"
"26","BLASCO","0.675573170820698","0.711364941029672","0.785407858833127","0.849245884543892","0.906993554346182","0.94746471645247","0.971399610032125","0.985821299171844","410"
"27","BREYFR","0.986570274317589","1.03853259122626","1.00132521335149","0.964981125004261","0.976749479287039","0.980578655421083","0.977963255871239","0.979853464765526","69"
"28","BRIDIN","1.03927219166486","1.07252874624477","1.06237176400852","1.04942603382638","1.04644986497574","1.03774558734324","1.03474398088842","1.03244181086944","450"
"29","BRIDTO",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"30","CALLBR","0.867042659313486","0.943113126318622","0.984593041283396","1.01821122748735","1.03021016259407","1.0179226698825","1.01652481487275","1.01004517753731","82"
"31","CALLFO","0.255108013093633","0.80238716654631","0.960259711978728","0.949263723963257","1.05801243421958","1.03681084856371","1.07742548733608","1.04302984548887","2"
"32","CALLKO",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"33","CALLRU",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"34","CAMECA","1.15926019029964","1.10940434104212","1.0962305343613","1.07115308766713","1.05598422819172","1.04198024457178","1.03321310198494","1.03116810206805","271"
"35","CAMEKI",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"36","CANAAL","0.982792953868617","0.983594147661488","1.03275126973931","1.05231136741789","1.07758742650226","1.07167709984883","1.07935642370646","1.05169789100189","19"
"37","CANTDI","1.39618646017859","1.09348572179215","1.00004281392701","1.05644060253686","1.07093491191064","1.05707197736578","1.05129371364216","1.04571069183204","6"
"38","CARABR","1.00619260065943","0.990822553281631","1.02582037047124","1.02698753006049","1.0212824626957","1.02569756366757","1.02596806191097","1.016313245067","141"
"39","CASEVE","0.94257319529841","1.00434979021701","1.01999651312286","1.03174862146903","1.03194064690087","1.02998592615631","1.02503186928509","1.02057806408563","592"
"40","CASTCA","1.02299161167058","0.98695134151474","0.950962833904309","0.989370526986393","1.01122058277113","0.985511436060858","1.00930138607619","1.0116198337174","45"
"41","CASTFA","1.0647456372204","1.0387331263518","1.01307029816168","1.00541308094994","0.996619458799452","0.999568349894884","0.983854768181654","0.975447524968649","120"
"42","CASTFI","0.914873152913122","0.967011105429635","0.968397897896752","0.969853300982908","0.980460017696847","0.985912577990153","0.986850468166466","0.99682501673456","732"
"43","CASTLA","1.03929476155481","0.987649229516557","0.961721410694671","1.01918418878935","1.02740737596411","1.01845417610858","1.00997132920903","1.02314458208542","123"
"44","CELTTI","0.834226642011397","0.87811401603384","0.880916742091724","0.906171324611869","0.895838508476024","0.961754995813391","0.986223629390211","1.01301423693456","10"
"45","CHOEAX","1.48578312767835","1.2724631147203","1.28404984622441","1.23698350176456","1.21625852930925","1.09108062420344","0.99956695779313","0.962010084089501","4"
"46","CINNCA",NA,NA,NA,NA,NA,NA,NA,NA,"12"
"47","CINNPA","0.967958554742766","1.04358900297258","1.12648295153944","1.10039340313982","1.0795454600756","1.05305988711482","1.03837389939371","1.00997451621165","142"
"48","CLEINE","0.619405430692257","0.688266060229516","0.80247799279051","0.89931540570698","0.967131718924155","0.980575812828049","1.00069478490312","0.997242778599576","64"
"49","CLERCY","0.466409638970235","0.800606367704296","0.755037568239009","0.869239467531088","0.862101612493891","0.862415395357902","0.897162260570675","0.960089024316236","3"
"50","CRATCO","1.10591102468476","1.08489439094387","1.10428698265832","1.09711574475994","1.07750825364575","1.06947700351462","1.06521430166557","1.06138938149583","176"
"51","CROTLA","0.899751775101023","0.936002684489415","0.98069770469297","1.01345147723698","1.00770786045314","1.01481089073921","1.00292555388809","1.00238530616543","24"
"52","CRYPCO","0.83572848353995","1.01689418282561","1.0790791308231","0.974625195559828","0.923460583059592","0.948008810291749","1.00797930985461","1.02878395241701","2"
"53","CUNNLA","0.720851227305125","0.675252504931109","0.822102372360745","0.811060180700268","0.822444396161598","0.832705367127647","0.852449363143619","0.916898941499644","23"
"54","DAPHCA","1.04191728051264","1.08038670367334","1.07797450382682","1.06473312202684","1.05839397327618","1.04800599351379","1.03742857398748","1.03105990799914","741"
"55","DAPHOL","1.38432032390442","1.20231568854042","1.13139876072834","1.13571030513405","1.10984103428287","1.08481092067253","1.05626926995522","1.02823882880652","51"
"56","DENDHO","1.01495313077945","0.955597103803116","1.05289595087321","1.05807289547472","1.03633857634013","1.06114511583877","1.06371739435905","1.04958781514053","11"
