"","allsp","","","","","","","","","","","","","","","","","","","","","","","","","abund"
"1","ABBI","1.86910063573538","1.48661116899695","1.33083815457343","1.25110330156146","1.21238611045079","1.18484602135128","1.1666377217982","1.1486753195575","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","138.725850260135","101.878133724452","80.5131300431507","68.0742310637891","64.2135340328787","60.766992700272","57.7486158958348","55.2694492760381","20069"
"2","ABCO","0.356058520732443","0.586671202408487","0.649446781574537","0.67781265130501","0.646690088462435","0.640630368665657","0.638723211308804","0.657439434964633","0.002","0.034","0.034","0.028","0.01","0.008","0.006","0.006","-2.65039138335843","-2.11405178346538","-2.13893175382622","-2.14206088246457","-2.43302561548664","-2.54235247589673","-2.66026049658699","-2.62285272703148","14"
"3","AMAL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"4","CELE","0.521350129027572","0.427863179903863","0.617632042653682","0.586643638141546","0.542398799522169","0.571549357519351","0.606940720543691","0.588956980127652","0.036","0.002","0.01","0.004","0.002","0.002","0.002","0.002","-2.0467322921181","-3.23637154535458","-2.43324503146626","-2.92667662479563","-3.62607909843245","-3.61057403088919","-3.44816074232302","-3.79447909784655","9"
"5","JUCO","0.445963863480497","0.606084473564878","0.677036027469626","0.732635360765988","0.793252954107917","0.838322109157428","0.859156412636623","0.860803517276502","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","-9.51054469494798","-8.90303074862286","-8.31377930389998","-7.5199871339433","-6.30944146941044","-5.18061093896797","-4.75943859788893","-5.0472593626383","174"
"6","JUSC","0.134348460172311","0.277491911986643","0.400502494654798","0.339315534820197","0.3010560725004","0.2805067498342","0.289769405014168","0.293788894466912","0.004","0.006","0.004","0.002","0.002","0.002","0.002","0.002","-2.27833431790879","-2.36015628036369","-2.18978778507515","-2.7197516516856","-3.27928055379605","-3.64539062576985","-3.74278495752386","-3.87462704569083","4"
"7","PIED","0.204820354055411","0.23688502471767","0.233443641783158","0.194290148700105","0.200077131161717","0.226748785438062","0.240482155189162","0.288463251288225","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","-3.11115611690313","-3.68969557723629","-4.07083469331052","-4.6611426779819","-5.12372073066038","-5.30974322932037","-5.46116639203799","-5.33681511816654","7"
"8","PIEN","0.621848269468581","0.729814813287374","0.776297992055163","0.811166801889933","0.836169673589545","0.855716830351023","0.865489766205633","0.878032557563466","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","-17.6939191253048","-16.1821838438757","-15.2510852481003","-14.2627627637282","-13.4938914286949","-12.7744338973815","-12.6411070461533","-12.1524207177941","1346"
"9","PIFL","0.479250953747334","0.564719443278453","0.644853629841577","0.695184340182906","0.727149902894607","0.748183436683794","0.764647084025544","0.778522763233058","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","-21.2858274403886","-22.825830411539","-21.6310646925116","-20.9144128325638","-20.6346431420671","-20.2120142874213","-19.5990079168001","-19.1277317749926","1075"
"10","PILO","0.394720034470655","0.461739032947889","0.526247612969563","0.567830044458897","0.59951353292582","0.621862897125191","0.642146121742383","0.658275094314458","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","-17.3332147845879","-19.9577927987001","-19.8921149855244","-19.3009467860811","-19.2915655990821","-19.1733909425895","-19.0585896836342","-19.2252172532766","799"
"11","PIPO","0.187106322927064","0.162325834174426","0.307632737432164","0.355371959235021","0.41839101691965","0.390162777893997","0.40972111111258","0.42943366570672","0.106","0.012","0.042","0.04","0.048","0.022","0.018","0.012","-1.48184223746014","-2.09170635554477","-1.97623086715057","-1.99904403847244","-1.91768637886983","-2.23126778684111","-2.33250617582327","-2.50023810178051","2"
"12","PIPU","0.669493828614482","0.684170885758588","0.676570458581885","0.657518763817755","0.650218971957907","0.643883520509841","0.640428901565537","0.638870501620662","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","-6.83291875614843","-8.0731051548172","-9.21503731791695","-10.4108440743286","-11.4526949191577","-12.3214334002284","-12.7383213798991","-13.2488067177648","437"
"13","POTR","0.598160277127516","0.748131547687307","0.82611042921673","0.874275246199939","0.892096193022297","0.904510512645169","0.916193332317276","0.926373089237168","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","-25.5519651729187","-20.8286569440264","-18.0112867625483","-15.4825942167481","-14.5826061784969","-13.5819688137802","-12.572915998965","-11.70938788023","2973"
"14","PSME","0.779413488233478","0.843568357911053","0.932522749372511","0.970689804118498","0.983833721421043","1.00635161721506","1.05162106599792","1.04408695250382","0.122","0.178","0.498","0.778","0.87","0.91","0.398","0.46","-1.55806491625364","-1.34348718606431","-0.678011721173058","-0.314587242844039","-0.180962978887174","0.124181754681662","0.820665664659904","0.744417841505693","33"
"15","RICE","0.847864720752723","0.614018503272215","0.544002049119059","0.492481584472701","0.514277849431471","0.533151835453722","0.530875433044112","0.573012440853111","0.048","0.002","0.002","0.002","0.002","0.002","0.002","0.002","-1.93502383721828","-6.44968144535314","-8.64548659519957","-10.6362316087335","-11.311869495913","-11.6876183062114","-12.459122547057","-12.0901661463759","86"
"16","RIMO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
