"","allsp","","","","","","","","","","","","","","","","","","","","","","","","","abund"
"1","ABBI","1.85974097777383","1.48036697103851","1.32587756872652","1.24630586457505","1.20882828810701","1.18227925383322","1.16438478115375","1.14650941407859","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","142.325281968847","102.976195219938","81.5410630300703","68.0653436219251","63.2552703615377","60.1817071729787","58.0834085896229","55.8648016658212","20396"
"2","ABCO","0.356628244272074","0.587688673626792","0.650630289453879","0.67915826892002","0.64805871667183","0.642059112980307","0.640153942134529","0.65889360342366","0.002","0.02","0.016","0.022","0.01","0.008","0.004","0.004","-2.68001344793998","-2.13863541597954","-2.23801423184022","-2.24974963165206","-2.50649388217867","-2.58972168189267","-2.69863094194375","-2.65810712549424","14"
"3","AMAL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"4","CELE","0.5171264459195","0.425153036513979","0.616560083710965","0.586927821866895","0.543516206376665","0.573347675340607","0.609099879805033","0.591122174504884","0.018","0.002","0.002","0.002","0.002","0.002","0.002","0.002","-2.17760230740125","-3.39009057349502","-2.66001646199023","-3.23575186699295","-3.97035021646269","-3.88300749521378","-3.69063884446979","-4.02158236667215","9"
"5","JUCO","0.44586276022391","0.606139018232341","0.677665648008354","0.733514448873799","0.794111602369789","0.839225027416756","0.860158175055209","0.86182943678708","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","-9.74363844034469","-9.19059222132207","-8.87594909824576","-7.92518407894828","-6.69179009992119","-5.46785741572874","-4.93643764256686","-5.13348989817287","174"
"6","JUSC","0.132792724764698","0.27557604874378","0.39959394313331","0.339542758313575","0.301620831278444","0.281163487309078","0.290594458228596","0.294602722327871","0.002","0.004","0.004","0.002","0.002","0.002","0.002","0.002","-2.25980457873308","-2.34499094844446","-2.242454806034","-2.77665316732501","-3.31262887394786","-3.68269418148463","-3.78388370616329","-3.94285009059183","4"
"7","PIED","0.203315168931319","0.235803164495578","0.234935169634756","0.196069185084033","0.201728164785571","0.228897747474339","0.243092950024097","0.29182027169942","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","-3.14473460517127","-3.67317834522956","-4.02788626913819","-4.61854017112046","-5.11382318903937","-5.24337460881277","-5.33972851692366","-5.16643796434011","7"
"8","PIEN","0.622050018283434","0.729752999005385","0.775277697226226","0.809200697723899","0.833805497991764","0.853265439627516","0.863016733675235","0.875503900313544","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","-18.5012180497474","-17.3500414332298","-16.6221549590988","-15.2517954180639","-14.3312183326896","-13.4008760416197","-13.329510238957","-12.8762306250468","1361"
"9","PIFL","0.47739864550097","0.562868462291632","0.642466435921128","0.692414005496651","0.724162907843817","0.744998028253116","0.761596632271924","0.775764172165673","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","-21.5981662155398","-22.6925016302749","-21.3603085650725","-19.9491367897919","-19.234128356357","-18.9805627761288","-18.7161024376226","-18.4964560790038","1083"
"10","PILO","0.389392213836587","0.455951481934326","0.518899734712988","0.558686188222213","0.589999281095435","0.612214101315936","0.632422191855142","0.648744560768674","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","-18.2978222713676","-20.3466740612126","-19.7399063917621","-18.8915011188021","-18.9269670175091","-18.8098702694064","-18.4753442944983","-18.5536459248477","814"
"11","PIPO","0.187774068983572","0.162133447864687","0.306775845573752","0.355142563210411","0.4178130377115","0.389688392401625","0.410402546240963","0.431113897433521","0.086","0.012","0.04","0.046","0.06","0.032","0.02","0.016","-1.50732048273422","-1.99545214175959","-1.85849226892252","-1.92932605912781","-1.89611024615771","-2.17631018279933","-2.25019696063477","-2.40661664692961","2"
"12","PIPU","0.662845107645942","0.676150886642727","0.668458994020305","0.650910244934441","0.643769912486623","0.637803819716561","0.63479998613156","0.634125967034196","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","-6.77538087438972","-7.88871992024681","-9.15401468996766","-10.5495859903583","-11.7957323703026","-12.6949537918792","-13.0432070701241","-13.3936490008214","442"
"13","POTR","0.597699942145431","0.747149249670532","0.824835383471744","0.873579004505529","0.891186546986122","0.902752954902159","0.914258061036966","0.924530109650466","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","-25.946416848629","-20.9010692108388","-18.1099840952981","-15.3242865695483","-14.6578976124924","-13.9395527739245","-13.022507568539","-12.1169818364467","3031"
"14","PSME","0.781112506648698","0.846071670583295","0.936685722249971","0.975257811106264","0.98845051047483","1.01103919583155","1.05657653621929","1.04897231727417","0.094","0.15","0.498","0.776","0.87","0.906","0.41","0.462","-1.58516119232354","-1.41323665848844","-0.684849854663471","-0.304614430609501","-0.17818398074119","0.127123882929559","0.801574145476652","0.728183247256807","33"
"15","RICE","0.847641068690753","0.614049440038296","0.544306328340386","0.492866360425338","0.514653681998315","0.53357333931856","0.531347089711356","0.573514237080925","0.028","0.002","0.002","0.002","0.002","0.002","0.002","0.002","-2.06369867554408","-6.57730675522261","-8.99021430731324","-11.0431123770854","-11.3423832433112","-11.8661483310916","-12.6717160478369","-12.2911128218497","86"
"16","RIMO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
