"","allsp","","","","","","","","","abund"
"1","ABBI","1.86909897722742","1.48691489339231","1.33037296153012","1.25002705760977","1.21140727513855","1.18416333561814","1.16633331390797","1.14844248369418","20069"
"2","ABCO","0.387962230513877","0.673938160819933","0.742908266172691","0.769118494651724","0.705293456357055","0.665670992451674","0.670124521489459","0.683811673123539","14"
"3","AMAL",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"4","CELE","0.521350129027572","0.427863179903863","0.617632042653682","0.586643638141546","0.542398799522169","0.571549357519351","0.606940720543691","0.588956980127652","9"
"5","JUCO","0.445963863480497","0.606084473564878","0.677036027469626","0.732635360765988","0.793252954107917","0.838322109157428","0.859156412636623","0.860803517276502","174"
"6","JUSC","0.162221289612616","0.211250684872164","0.322016532949946","0.271345651763056","0.25897824411099","0.253413224378795","0.267829711221306","0.280509695081273","4"
"7","PIED","0.204820354055411","0.23688502471767","0.233443641783158","0.194290148700105","0.200077131161717","0.226748785438062","0.240482155189162","0.288463251288225","7"
"8","PIEN","0.598608431511829","0.705339431053355","0.756745131968351","0.794898703791204","0.82072681967933","0.839743168072088","0.848952354594295","0.861610077181017","1346"
"9","PIFL","0.420732626649479","0.500656929745793","0.580747315691122","0.641902087921746","0.679527164801537","0.70548060568422","0.72675007012968","0.744977129496642","1075"
"10","PILO","0.341068406213933","0.385925011768306","0.442908061896475","0.478971953764176","0.514694573836792","0.546284965508029","0.572872836030334","0.591518819607342","799"
"11","PIPO",NA,NA,NA,NA,NA,NA,NA,NA,"2"
"12","PIPU","0.606049226109177","0.631645424232033","0.643554186375787","0.623144746421144","0.608442392468405","0.601181426139449","0.593013854506608","0.589090321785495","437"
"13","POTR","0.63072827853379","0.792070269937046","0.864435098725148","0.904689368803653","0.914688659848963","0.920727597716836","0.927672783452817","0.935790102493775","2973"
"14","PSME","0.490670776499123","0.660018628545453","0.7828827033974","0.823908088635952","0.840266913323642","0.890227080823073","0.941096357492623","0.945184910207948","33"
"15","RICE","0.847864720752723","0.614018503272215","0.544002049119059","0.492481584472701","0.514277849431471","0.533151835453722","0.530875433044112","0.573012440853111","86"
"16","RIMO",NA,NA,NA,NA,NA,NA,NA,NA,"1"
