"","allsp","","","","","","","","","abund"
"1","ABBI","1.86052981390464","1.48163118685209","1.32639411776456","1.24666879659309","1.20890457042537","1.18244487569468","1.16436933450068","1.14645476725477","20396"
"2","ABCO","0.387962230513877","0.673938160819933","0.742908266172691","0.769118494651724","0.705293456357055","0.665670992451674","0.670124521489459","0.683811673123539","14"
"3","AMAL",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"4","CELE","0.5171264459195","0.425153036513979","0.616560083710965","0.586927821866895","0.543516206376665","0.573347675340607","0.609099879805033","0.591122174504884","9"
"5","JUCO","0.44586276022391","0.606139018232341","0.677665648008354","0.733514448873799","0.794111602369789","0.839225027416756","0.860158175055209","0.86182943678708","174"
"6","JUSC","0.132792724764698","0.27557604874378","0.39959394313331","0.339542758313575","0.301620831278444","0.281163487309078","0.290594458228596","0.294602722327871","4"
"7","PIED","0.203315168931319","0.235803164495578","0.234935169634756","0.196069185084033","0.201728164785571","0.228897747474339","0.243092950024097","0.29182027169942","7"
"8","PIEN","0.608505626207803","0.714077544918114","0.762488308467473","0.797073183101534","0.821526777753358","0.839862862116638","0.849694403498268","0.863213017541326","1361"
"9","PIFL","0.435710217719995","0.508332106423932","0.58624745930293","0.645558207093294","0.681651761325085","0.704766007150517","0.725108448442365","0.742537387695801","1083"
"10","PILO","0.348564781727068","0.396016858917666","0.453774030361129","0.491359578066497","0.526043297795266","0.556530173791739","0.582460308707933","0.601406652762733","814"
"11","PIPO",NA,NA,NA,NA,NA,NA,NA,NA,"2"
"12","PIPU","0.633559257954667","0.641037790195497","0.64255319146613","0.621045746913624","0.605232334730168","0.59734653943708","0.59114537673781","0.588659872432812","442"
"13","POTR","0.608410602141657","0.760770326845844","0.838221669724598","0.885990425283496","0.901323264334389","0.909716229133379","0.919885506711737","0.929758434604919","3031"
"14","PSME","0.533294032267553","0.667154099373711","0.782689482299094","0.829071453598658","0.84593098705119","0.893190859857827","0.94834066322068","0.952576987349227","33"
"15","RICE","0.847641068690753","0.614049440038296","0.544306328340386","0.492866360425338","0.514653681998315","0.53357333931856","0.531347089711356","0.573514237080925","86"
"16","RIMO",NA,NA,NA,NA,NA,NA,NA,NA,"1"
