"","allsp","","","","","","","","","","","","","","","","","","","","","","","","","abund"
"1","ABBI","0.974652552359597","0.909174285489852","0.947578139029064","0.958718383154893","0.961959122031977","0.964883858187945","0.967717209616059","0.966938707876693","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","-6.53197323037744","-36.1154211175831","-24.6454678200262","-21.233005790028","-20.9303770696489","-19.3364200002816","-18.3211251569607","-19.1449016953758","20069"
"2","ABCO","0.72907307966818","1.09248039525357","1.14461669081407","1.12187680275515","1.0835278967767","1.08940865729946","1.05345622179005","1.10604198125798","0.082","0.474","0.146","0.186","0.318","0.284","0.558","0.202","-1.88295103864375","0.878299353934885","1.61165060084895","1.48038841166449","1.11174399451381","1.17653202799062","0.695341214795373","1.4258543307987","14"
"3","AMAL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"4","CELE","1.14448016007839","1.90931691281235","1.8820947593056","1.68365347205158","1.58083123861662","1.45887760213326","1.55567675662361","1.4870357734446","0.438","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.96907226004481","7.57723860177942","8.14390243685809","6.58127802750293","5.7478662094172","4.52464979252943","5.7146017177194","5.06997791557551","9"
"5","JUCO","1.19297923043311","1.30660617677432","1.26477897713546","1.22664554730685","1.22245210590868","1.24873940849183","1.25193329282463","1.25701659991457","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","5.24875350538835","10.5564403122078","9.89184951366682","9.60162336221726","10.3949845204074","11.9336856729475","12.8555037938326","13.7702482880371","174"
"6","JUSC","0.184971235606107","1.15974375022922","1.5794755378582","1.49669880250561","1.50595942870435","1.46471443894566","1.43233013484614","1.47321050474873","0.004","0.614","0.008","0.006","0.01","0.006","0.014","0.006","-3.35553840974818","0.791715641397894","3.49402944118538","3.12698519771541","3.23947637118189","3.05333931957289","2.90009849211294","3.16041432656301","4"
"7","PIED","0.785792473511445","1.32906239869792","1.6232700591755","1.70931556456688","1.95858355571845","2.08314770774916","1.97512465704276","1.90827488020374","0.324","0.048","0.002","0.002","0.002","0.002","0.002","0.002","-1.24850060382582","2.34125491242623","4.88610273228091","5.86815866905887","7.43695143747362","8.8568850466144","8.12870966937195","7.47314085189201","7"
"8","PIEN","1.05554576952123","1.06459252971874","1.02235842295455","0.999507043463349","0.998490679906295","0.993843634982281","0.992880249964498","0.996785638962925","0.002","0.002","0.006","0.988","0.868","0.426","0.33","0.644","4.33689888802829","6.20402554185593","2.59562012798188","-0.0298678921026086","-0.177382686172035","-0.844972029846521","-0.98622850973276","-0.466034945549177","1346"
"9","PIFL","0.989941392955036","1.07720001786909","1.04911740536971","1.05753672768914","1.06184504578379","1.07175961715974","1.08119158487563","1.0849995956439","0.512","0.002","0.002","0.002","0.002","0.002","0.002","0.002","-0.63291814783924","6.09047513062709","4.77646275916629","6.11626126091597","7.24269833780041","8.8420588510787","10.5181392589031","11.5520242237361","1075"
"10","PILO","0.77833419215379","0.880074016755546","0.889900308428296","0.908600866488956","0.921088025411179","0.932210895485086","0.950676399811233","0.95511691709582","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","-10.2652203213725","-7.54932151084579","-9.22879313399294","-8.36802369537457","-8.1904592081098","-7.42265817745475","-5.52117237525605","-5.28080500931909","799"
"11","PIPO","0.760758519347841","0.702991637210104","0.710890247490764","0.76187806587246","0.905719658201033","1.04996137007468","0.97442638623327","0.992912983122671","0.924","0.586","0.382","0.378","0.988","0.994","1","1","-0.671339823080572","-0.980130404309984","-1.22922533003336","-1.22156633024045","-0.463015458988981","0.244145421526427","-0.150264176182788","-0.0786268542713638","2"
"12","PIPU","1.09532631396","1.04502458118082","1.00063997307232","0.993295256851431","0.979570680358875","0.969054744174895","0.970020506031782","0.981226502204849","0.006","0.058","0.984","0.71","0.184","0.028","0.02","0.1","2.95374590304091","1.9659361630593","0.049536235106862","-0.416781752712918","-1.37899351486055","-2.25577475252917","-2.34855668878302","-1.58666652837972","437"
"13","POTR","0.927255531636056","0.988972526248454","0.965574287625824","0.948864556942448","0.945093745931756","0.945147371080856","0.94162428872988","0.942737420710535","0.002","0.106","0.002","0.002","0.002","0.002","0.002","0.002","-8.38226235920168","-1.66097670292157","-5.9361250401505","-9.61154351502298","-11.0426335814269","-11.6195023368441","-12.9347965163621","-13.0192013804438","2973"
"14","PSME","0.867737499099242","1.04193271938261","1.03149279340232","1.09091995043043","1.07535692650423","1.05505282076598","1.05309505235868","1.02749111838114","0.112","0.508","0.586","0.088","0.082","0.188","0.182","0.49","-1.50726986113746","0.68261112117906","0.571207899524383","1.83920197473087","1.71622379415505","1.32024695325423","1.34063340892874","0.685843120105167","33"
"15","RICE","1.28683531837924","1.25163081471145","1.1240842229171","1.08528037111213","1.19356930722664","1.20592103998236","1.1729608346109","1.17952302557643","0.002","0.002","0.002","0.012","0.002","0.002","0.002","0.002","5.75767144428435","6.13328114824827","3.81489817003949","2.80503977637557","6.76158952507681","7.31794656745926","6.63399739442027","7.30546655357956","86"
"16","RIMO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
