"","allsp","","","","","","","","","","","","","","","","","","","","","","","","","abund"
"1","ABBI","0.974537122845726","0.908415852105597","0.947014742054196","0.95785376348544","0.960668195524669","0.963719686212459","0.966447797391303","0.965403269821706","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","-6.75804289054449","-37.0417658051226","-24.9691574405084","-21.6508373326963","-21.4700806744442","-20.5982564655501","-19.5046852875618","-20.5035404970958","20396"
"2","ABCO","0.73057687394096","1.09471262905424","1.14669182536353","1.12415800482405","1.08495761016975","1.09026824197911","1.05434611668099","1.10642077838613","0.074","0.37","0.136","0.168","0.31","0.266","0.508","0.174","-1.90983937545796","0.980498194755777","1.63296816118917","1.4831497644076","1.13866126167224","1.23825274515732","0.743902072023096","1.51253826872063","14"
"3","AMAL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"4","CELE","1.14780333243568","1.91442437454161","1.89178725688089","1.69201690610645","1.58864782059977","1.4668598536457","1.56424117496194","1.4941467143712","0.466","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.977729514616944","7.47147448232468","8.25957245259552","6.64311154588927","5.83331244343749","4.70051851472876","5.81400560451739","5.12363457566373","9"
"5","JUCO","1.19347801505052","1.3069943503036","1.26593640978349","1.2274931872619","1.22351418012951","1.24997063799616","1.25323734499749","1.25829208199947","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","5.36007415679605","10.3790038596695","10.173507124402","9.79322067293096","10.7685392915728","12.8112048100385","13.5635460583069","14.2773461980169","174"
"6","JUSC","0.185256991896485","1.16015417044897","1.58409492650574","1.50221843795883","1.51267817461202","1.47205764162012","1.43900707750723","1.47847326736907","0.002","0.556","0.01","0.012","0.008","0.01","0.012","0.002","-3.19273868013116","0.784893592337667","3.35147791954627","3.0816107338641","3.24105051779795","2.93871178139257","2.829641413001","3.1292545870558","4"
"7","PIED","0.789258113310755","1.33614060275257","1.63650124351604","1.71833056967268","1.96919688855162","2.10081006673515","1.99539006747046","1.92955077367804","0.348","0.05","0.002","0.002","0.002","0.002","0.002","0.002","-1.21926064861397","2.35953173212314","4.92181112309909","5.66893283067388","7.3600678249464","8.86951007890115","7.95212301809436","7.49091362650719","7"
"8","PIEN","1.05595474400531","1.06598997492146","1.02281404959828","0.999506586393841","0.998118693327385","0.99313328387452","0.991903550192622","0.996650410590738","0.002","0.002","0.004","0.95","0.776","0.326","0.22","0.598","4.22290006569632","6.16069101513738","2.52839871991194","-0.10503779843334","-0.2969654261161","-1.0301563189271","-1.20136654613044","-0.511887571140285","1361"
"9","PIFL","0.98849258348886","1.07623787373262","1.04753254473796","1.05692266590072","1.06106611397347","1.07095140681984","1.08012838177574","1.08460062810852","0.524","0.002","0.002","0.002","0.002","0.002","0.002","0.002","-0.672431443708497","6.2669588542275","4.6293042194526","6.2938374766559","7.56404269464728","9.28809953090293","11.1452691782411","11.8900204033156","1083"
"10","PILO","0.77207865955293","0.877432448273331","0.88818209058047","0.904932434154654","0.917831002961624","0.928966924900177","0.947152178236506","0.951826824109223","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","-10.9512877551741","-7.98504073985663","-9.3844872373067","-9.00972361789521","-8.3795189428994","-7.60404831470705","-5.8793105903977","-5.75348413148036","814"
"11","PIPO","0.747865754317367","0.694897464879703","0.703035500964867","0.756652688767571","0.901796138302649","1.04888798618869","0.97257900485894","0.993489853867996","0.89","0.574","0.368","0.354","0.89","1","1","1","-0.731475184631561","-1.01722138908092","-1.22003542898102","-1.28272488623451","-0.52590323991285","0.214586593646553","-0.172094217660957","-0.0722479512196387","2"
"12","PIPU","1.08723901223542","1.03789156608998","0.99560006842634","0.988616937353144","0.974673326115873","0.964290877031755","0.965123077892744","0.975783841307285","0.01","0.1","0.86","0.522","0.104","0.01","0.008","0.05","2.63655899313042","1.68131686647401","-0.220017595033888","-0.687327879070852","-1.65142184234332","-2.5366974960316","-2.68613979599272","-2.01152371330673","442"
"13","POTR","0.926754734825787","0.988650813823299","0.965710541985571","0.949015727536615","0.946363578371728","0.945777596190876","0.942448298031276","0.943121308965659","0.002","0.068","0.002","0.002","0.002","0.002","0.002","0.002","-8.62631803197982","-1.82953654308637","-6.25178382393326","-10.0466586290189","-10.961262582445","-11.503900787921","-12.9112209592214","-13.1643227405064","3031"
"14","PSME","0.867897772758567","1.04248454927681","1.03289027723938","1.09270603634051","1.077195355765","1.05700170131158","1.0550749221381","1.02944692168163","0.12","0.52","0.622","0.086","0.082","0.166","0.142","0.464","-1.48449755546799","0.63274883982183","0.547593162574566","1.81777093975222","1.73813267909152","1.39165193181808","1.4401237994783","0.74971582206499","33"
"15","RICE","1.28710999386059","1.25198692447351","1.12488369333028","1.08593312872422","1.19420804066338","1.20675655736471","1.17390859579365","1.18051902675448","0.002","0.002","0.002","0.018","0.002","0.002","0.002","0.002","5.74683474056155","6.36051992443041","3.70559664687307","2.8080696359179","6.67629752603057","7.13235166503131","6.41629834593121","7.01603355148884","86"
"16","RIMO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
