"","allsp","","","","","","","","","abund"
"1","ABBI","0.969341498585306","0.906287836904381","0.946461484489671","0.957756652040839","0.961141384379159","0.964165269007784","0.967344616718205","0.966790104347321","20069"
"2","ABCO","0.74728736699005","1.2326186070572","1.20315731280933","1.14199684443271","1.10401634258962","1.11615738732466","1.09399281837893","1.06283248540888","14"
"3","AMAL",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"4","CELE","1.14448016007839","1.90931691281235","1.8820947593056","1.68365347205158","1.58083123861662","1.45887760213326","1.55567675662361","1.4870357734446","9"
"5","JUCO","1.19297923043311","1.30660617677432","1.26477897713546","1.22664554730685","1.22245210590868","1.24873940849183","1.25193329282463","1.25701659991457","174"
"6","JUSC","0.238551879123154","1.0888642528004","1.4188737001939","1.3113084034706","1.41169657646381","1.42179981162385","1.43659260414741","1.52025963268905","4"
"7","PIED","0.785792473511445","1.32906239869792","1.6232700591755","1.70931556456688","1.95858355571845","2.08314770774916","1.97512465704276","1.90827488020374","7"
"8","PIEN","1.04821856020294","1.05901114914134","1.01757525238138","0.996375233657124","0.994116301526294","0.990237760022679","0.986917227807313","0.992881337719346","1346"
"9","PIFL","0.974841742627993","1.07575448728928","1.04158126321571","1.05307884352933","1.06126731271242","1.06742592997657","1.07722134107486","1.07917586159931","1075"
"10","PILO","0.799160629951419","0.887971548047467","0.899159513532602","0.929899501038701","0.934419292283356","0.951430361128597","0.966772024931121","0.965517934965628","799"
"11","PIPO",NA,NA,NA,NA,NA,NA,NA,NA,"2"
"12","PIPU","1.04614992066997","1.0643896687909","0.996454640807167","0.974553639369014","0.967042118672535","0.955747798629747","0.962713831772962","0.975795684985616","437"
"13","POTR","0.967896857433634","1.01581047401584","0.980018120930318","0.95810409719717","0.950770000791681","0.953372672282203","0.950088558655164","0.953022778466371","2973"
"14","PSME","0.763160860974149","1.02523507774383","1.02987967562041","1.07269697992886","1.06850734750059","1.06263744271075","1.0377119679948","1.01851833163269","33"
"15","RICE","1.28683531837924","1.25163081471145","1.1240842229171","1.08528037111213","1.19356930722664","1.20592103998236","1.1729608346109","1.17952302557643","86"
"16","RIMO",NA,NA,NA,NA,NA,NA,NA,NA,"1"
