"","allsp","","","","","","","","","abund"
"1","ABBI","0.969395357423871","0.905477216782213","0.94577834632439","0.956720166802669","0.95971079921565","0.962891909445974","0.965977330682366","0.965169722538801","20396"
"2","ABCO","0.74728736699005","1.2326186070572","1.20315731280933","1.14199684443271","1.10401634258962","1.11615738732466","1.09399281837893","1.06283248540888","14"
"3","AMAL",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"4","CELE","1.14780333243568","1.91442437454161","1.89178725688089","1.69201690610645","1.58864782059977","1.4668598536457","1.56424117496194","1.4941467143712","9"
"5","JUCO","1.19347801505052","1.3069943503036","1.26593640978349","1.2274931872619","1.22351418012951","1.24997063799616","1.25323734499749","1.25829208199947","174"
"6","JUSC","0.239027375792471","1.08938115283329","1.42447100564197","1.31783513073018","1.42019671734358","1.43142663013971","1.44567519417963","1.52757860743198","4"
"7","PIED","0.789258113310755","1.33614060275257","1.63650124351604","1.71833056967268","1.96919688855162","2.10081006673515","1.99539006747046","1.92955077367804","7"
"8","PIEN","1.04857297385096","1.06111479375221","1.01838925221062","0.996185976892805","0.993574771702103","0.989330938058887","0.985716174192899","0.992497859058893","1361"
"9","PIFL","0.971951909872323","1.07420289956184","1.03969982995976","1.05215585593282","1.0602214497771","1.06616607799458","1.07513408092894","1.07808325312931","1083"
"10","PILO","0.791895086035609","0.884095501646125","0.89641891401573","0.924691029985441","0.929211365625986","0.945439686126015","0.961071483479443","0.959802250365728","814"
"11","PIPO",NA,NA,NA,NA,NA,NA,NA,NA,"2"
"12","PIPU","1.0394358961516","1.05512793696907","0.990468562690999","0.968016362172762","0.960924272289842","0.950505007080009","0.956804140122627","0.969767141726893","442"
"13","POTR","0.968520481153791","1.01589679274786","0.980547192482316","0.958789712601441","0.95279049179037","0.954925234478624","0.951827379560966","0.954407289232175","3031"
"14","PSME","0.763343417515131","1.02594647654238","1.03175101686918","1.07504614478293","1.07095688503631","1.06528117590216","1.04033845905084","1.02112902993043","33"
"15","RICE","1.28710999386059","1.25198692447351","1.12488369333028","1.08593312872422","1.19420804066338","1.20675655736471","1.17390859579365","1.18051902675448","86"
"16","RIMO",NA,NA,NA,NA,NA,NA,NA,NA,"1"
