"","x"
"ACER01",1958.57096200912
"ACEROP",1356.06846892203
"ACTI01",659.137554649674
"ACTINI",14990.0150988241
"ADENNO",5130.41715285298
"ADENPA",3166.92174435936
"AGANHE",29674.4003563437
"AGLA01",16084.7266209124
"AGLA02",2751.55607166499
"AGLAAR",26325.4704415986
"AGLABN",12267.8329184702
"AGLABR",54933.2843840853
"AGLABS",335.844108650383
"AGLACA",696.011998421185
"AGLACO",976.548368405119
"AGLACU",4825.02293099752
"AGLALE",128883.862175466
"AGLARI",61065.3669386089
"AGLASA",448.06179823661
"AGLASU",1295.98550942213
"AGLATO",17318.2415604179
"AILAIN",33765.4608496647
"ALANVI",67315.2278017155
"ALBIPR",23381.8766650013
"ALLOCO",14341.9673662416
"ALSEAR",5975.36420499922
"ALSTBR",707.87936467012
"ALSTSC",164222.287050857
"ANTHCH",15870.7684532396
"ANTIOL",3302.34794967398
"ANTITO",593.077715126315
"APHA01",2761.5698982483
"APHAPH",1990.64662300227
"APHAPO",30553.2609011854
"APORPA",3477.3503684422
"ARCHGL",750.440091144628
"ARCHLU",4916.78099842724
"ARCHPT",8832.94902872287
"ARDIIM",1640.51612175969
"ARTOAL",6795.27276369636
"ARTOCA",19385.150345086
"ARTOCO",6545.51614773597
"ARTOLA",21096.8863723026
"ARTOSE",59959.9268776086
"ARYTLI",2842.89787806811
"ASTRAC",4891.81319081284
"ASTRMO",1041.88564161815
"BAMBFO",888.269614839246
"BARRAP",26648.2612327733
"BARRNO",1837.77672447859
"BARRRA",537.023848204639
"BOMBCE",4092.02653306195
"BREYCE",95.0331777710912
"BRIDMA",42238.7760593678
"BUCHMO",4318.29188995512
"CALLFA",535.021082887976
"CALLPE",211.931840411167
"CALLPR",493.881927089217
"CALOSO",34460.7345738123
"CANAAC",80607.6361862825
"CANAAS",156.145008865047
"CANAIN",122198.804336039
"CANAMA",12121.8431078579
"CANAOD",11941.382171854
"CANAOL",10556.6623779312
"CANASC",1872.06720829252
"CANT01",102.070345315132
"CARABR",7985.39445467414
"CARYRU",7088.2262786436
"CASECL",541.382808011495
"CELT01",1604.18360272092
"CELTLA",431282.575435732
"CELTNY",17977.2298894165
"CELTPH",126262.148128174
"CERBFL",17464.8596895609
"CHIOBR",15261.5350978922
"CHIORA",8048.38338737862
"CHIOTR",1491.49467423666
"CHISCE",241299.354289145
"CHISCU",152969.196413478
"CHISFO",8764.54084869095
"CHISLA",7193.67383606135
"CHISLO",4968.4837595237
"CHISPA",788.932455132737
"CHISTR",22174.4447985022
"CHISWE",51365.4247312932
"CHRYRO",22535.6886837569
"CINNGR",55411.7725071719
"CITRSU",232.634935998324
"CLAOPO",750.95845393247
"CLEIJA",153.9380400259
"CLERIN",1057.84493229839
"CLERTR",289.654842660979
"CLYMPA",231.983055522704
"COMMBA",614.786120362621
"COMMPA",685.566202847999
"CORDTE",243.284935093994
"CROTWO",339.048533157044
"CRYP01",448.894320289812
"CRYPAP",169.716689128555
"CRYPCA",22012.4642812832
"CRYPDE",18337.0679119587
"CRYPDP",1903.38888704881
"CRYPEN",2074.35435925717
"CRYPMA",47105.9120398867
"CRYPME",11398.0044525075
"CRYPMS",19818.2738702548
"CRYPMU",16409.5987172201
"CRYPNO",23686.4383648036
"CUPAAC",11316.519393055
"CUPACU",520.098517783424
"CUPAMA",7263.37006908124
"CYAT01",88.2473376393373
"CYATOB",2656.53074787553
"CYATPO",1383.93439575938
"CYCLLA",14693.2916726925
"CYCLLO",124.689812420979
"DECA01",1759.79454083486
"DECARH",6565.53594692097
"DENDCO",982.917947510273
"DENDLO",5415.06115523148
"DICHPA",257.429956016782
"DICTOB",592.394418724159
"DIOSAR",897.270277791781
"DIOSEL",5549.18359959487
"DIOSFO",2380.09415630453
"DIOSPE",7722.63164512789
"DRACAN",6378.05355133636
"DRACDA",70032.0378586318
"DRACLE",26748.4544764779
"DRYPLA",3806.17301751181
"DRYPOB",5101.48308451342
"DYSOAB",97355.3331048819
"DYSOAC",12566.3391984326
"DYSOAH",4174.87033133711
"DYSOAL",32890.9042867583
"DYSOAN",12392.5305848728
"DYSOAR",26779.1635446668
"DYSOAT",2478.40244441699
"DYSOBR",4843.30700024141
"DYSOCA",126.676869774374
"DYSOGA",2003.09518389212
"DYSOMI",21799.2679498289
"DYSOMO",8902.3546644223
"DYSOMY",20779.5226824369
"DYSOPA",16563.8037926215
"DYSOPE",18249.2839592357
"DYSORI",111327.3622282
"DYSOSE",35868.1445206756
"ELAE01",1142.98209321067
"ELAEAL",307.907495978336
"ELAEAM",21975.2128463932
"ELAEMI",9529.21235455634
"ELAESC",564.104376878583
"ELAESP",24277.4269208153
"ELAEUN",7420.22979027497
"ENDIBR",2256.47248538577
"ENDIDI",2696.06769142096
"ENDISQ",2047.45447216081
"ENDOLA",25231.1987424819
"ENDOMA",44665.0045037903
"ENDOME",11784.7345081644
"ERYTCA",226103.981132538
"EUPOLA",430.052618349907
"EUROPA",1568.20451285569
"FICU01",301.718558450764
"FICUAB",36155.7102042219
"FICUAD",912.561980033129
"FICUAL",6223.32225916543
"FICUAP",18453.3539640313
"FICUAR",2808.63095619908
"FICUAU",1045.85190234331
"FICUBA",2169.0262538731
"FICUBE",7442.39372644605
"FICUBO",1671.69642884657
"FICUCA",11309.7335529233
"FICUCG",1030.96860714693
"FICUCH",1194.59060652752
"FICUCO",2847.6573909383
"FICUCP",759.205134648143
"FICUDR",23564.4267601198
"FICUER",20705.5224674816
"FICUGL",63209.5903184819
"FICUGU",14572.4424572906
"FICUHI",141.026094219646
"FICUHO",7670.00996818026
"FICUME",25315.008580498
"FICUMO",7060.97296237371
"FICUNO",40153.5832054558
"FICUPA",349.15660751997
"FICUPO",35933.1048027702
"FICUPR",16544.8914048469
"FICUPS",28287.8348767369
"FICUPU",9533.86191168365
"FICURU",36113.8956060026
"FICUSE",18176.5875052317
"FICUST",18644.889014139
"FICUSU",12383.7262714611
"FICUTR",4519.62870914205
"FICUVA",36102.9628635682
"FICUVI",70814.6714204941
"FICUVR",11263.2929595216
"FICUWA",4376.46633191797
"FLACRU",489.287347833342
"FLACZI",954.769277334108
"FRIEGL",202.546332358568
"GANOFA",8034.7174593355
"GARCAS",1994.88777308462
"GARCDU",2930.83105644209
"GARCHU",3693.57048282552
"GARCLE",930.940297056629
"GARCMA",286.521103989023
"GARDHA",3366.44429378885
"GARU01",88.2473376393373
"GARUFL",83747.7994152149
"GASTSP",19628.0975589697
"GIGASC",13226.662704309
"GLOCAN",1647.45904152412
"GMELMO",64834.4377468818
"GNETCO",451.509696173925
"GNETGN",318518.130918056
"GOMPMO",258.364579831225
"GOMPPA",7613.30422078297
"GONI01",1963.2597890446
"GONI03",100.28749148422
"GONIAR",822.633890324121
"GONIIM",1940.0041494264
"GONOLI",5323.64866299366
"GORDAM",1560.81391613812
"GRAPPI",304.271102481805
"GUIOCO",3063.42982836848
"GYMNPA",231283.273613099
"HAPLFL",99853.0092202287
"HAPLFU",574.722960047717
"HAPLLA",8150.88570168362
"HAPLLO",3555.29328217776
"HARPAE",766.862766741268
"HARPAR",4757.63576857802
"HARPLO",6427.99702054681
"HARPRA",3385.12106211444
"HELILA",776.680243783737
"HERILI",301.718558450764
"HERNOV",876.158775159657
"HIBIEL",899.320166998248
"HIBIPA",12210.1925472584
"HIBITI",477.019428521074
"HOMAFO",24700.8115087579
"HOPEIR",34284.6640135418
"HORSBA",136975.081178676
"HORSHE",68783.1369691053
"HORSIR",23516.7138216934
"HORSMA",221.670777637296
"HORSSI",373.535366511826
"HORSSP",684.529477272314
"HORSSU",15141.9111036252
"HORSSY",47766.6439528081
"HYDRBE",422.732707467043
"HYDRCO",5996.99407041919
"INTSBI",455970.906967674
"INTSPA",1520.53084433746
"IXORAM",815.863758155635
"IXORTI",2044.39141932356
"JAGEJA",84.948665353068
"KIBA01",10694.2562821768
"KINGAL",51210.6070453243
"KINGNO",76362.4098874683
"KLEIHO",10692.709047795
"KOPSFL",561.4497310863
"LAGEAR",1035.36683686195
"LAGEPI",850.397715400221
"LEEAIN",2316.38265728973
"LEPICO",17380.3744091242
"LEPIMI",1199.72711051614
"LEPITE",173.431622441425
"LEPIXY",1786.23104301482
"LICUBE",5635.65593738492
"LITSCO",33317.7917505098
"LITSGL",4222.45760605736
"LITSGU",3577.71639974276
"LITSTI",34399.0808179856
"MACAAL",40932.8081392889
"MACABI",25943.6648324262
"MACAFA",14367.4142667357
"MACAIN",4822.82381614
"MACANE",13721.9897640189
"MACAPU",14346.0828526178
"MACAQU",10368.1275488077
"MACATA",16090.5307133399
