"","x"
"ACER01",2
"ACEROP",9
"ACTI01",2
"ACTINI",45
"ADENNO",2
"ADENPA",1
"AGANHE",57
"AGLA01",53
"AGLA02",7
"AGLAAR",115
"AGLABN",66
"AGLABR",124
"AGLABS",2
"AGLACA",3
"AGLACO",4
"AGLACU",8
"AGLALE",262
"AGLARI",219
"AGLASA",2
"AGLASU",2
"AGLATO",39
"AILAIN",55
"ALANVI",186
"ALBIPR",14
"ALLOCO",48
"ALSEAR",5
"ALSTBR",2
"ALSTSC",203
"ANTHCH",9
"ANTIOL",9
"ANTITO",4
"APHA01",13
"APHAPH",6
"APHAPO",96
"APORPA",21
"ARCHGL",4
"ARCHLU",3
"ARCHPT",31
"ARDIIM",11
"ARTOAL",4
"ARTOCA",27
"ARTOCO",10
"ARTOLA",49
"ARTOSE",101
"ARYTLI",8
"ASTRAC",19
"ASTRMO",4
"BAMBFO",2
"BARRAP",85
"BARRNO",8
"BARRRA",4
"BOMBCE",5
"BREYCE",1
"BRIDMA",47
"BUCHMO",4
"CALLFA",1
"CALLPE",2
"CALLPR",5
"CALOSO",128
"CANAAC",263
"CANAAS",1
"CANAIN",138
"CANAMA",36
"CANAOD",16
"CANAOL",32
"CANASC",5
"CANT01",1
"CARABR",24
"CARYRU",27
"CASECL",3
"CELT01",8
"CELTLA",737
"CELTNY",31
"CELTPH",102
"CERBFL",42
"CHIOBR",59
"CHIORA",42
"CHIOTR",5
"CHISCE",429
"CHISCU",313
"CHISFO",24
"CHISLA",21
"CHISLO",20
"CHISPA",2
"CHISTR",76
"CHISWE",126
"CHRYRO",26
"CINNGR",63
"CITRSU",2
"CLAOPO",4
"CLEIJA",1
"CLERIN",1
"CLERTR",2
"CLYMPA",2
"COMMBA",4
"COMMPA",2
"CORDTE",1
"CROTWO",2
"CRYP01",3
"CRYPAP",1
"CRYPCA",117
"CRYPDE",27
"CRYPDP",6
"CRYPEN",5
"CRYPMA",76
"CRYPME",35
"CRYPMS",33
"CRYPMU",36
"CRYPNO",58
"CUPAAC",49
"CUPACU",3
"CUPAMA",20
"CYAT01",1
"CYATOB",7
"CYATPO",9
"CYCLLA",17
"CYCLLO",1
"DECA01",6
"DECARH",16
"DENDCO",3
"DENDLO",38
"DICHPA",2
"DICTOB",4
"DIOSAR",1
"DIOSEL",21
"DIOSFO",14
"DIOSPE",22
"DRACAN",39
"DRACDA",61
"DRACLE",44
"DRYPLA",14
"DRYPOB",34
"DYSOAB",419
"DYSOAC",6
"DYSOAH",18
"DYSOAL",91
"DYSOAN",20
"DYSOAR",105
"DYSOAT",5
"DYSOBR",16
"DYSOCA",1
"DYSOGA",6
"DYSOMI",94
"DYSOMO",27
"DYSOMY",91
"DYSOPA",25
"DYSOPE",77
"DYSORI",202
"DYSOSE",68
"ELAE01",2
"ELAEAL",1
"ELAEAM",48
"ELAEMI",22
"ELAESC",1
"ELAESP",17
"ELAEUN",36
"ENDIBR",10
"ENDIDI",13
"ENDISQ",5
"ENDOLA",44
"ENDOMA",152
"ENDOME",9
"ERYTCA",599
"EUPOLA",1
"EUROPA",3
"FICU01",1
"FICUAB",8
"FICUAD",4
"FICUAL",13
"FICUAP",3
"FICUAR",18
"FICUAU",7
"FICUBA",5
"FICUBE",18
"FICUBO",8
"FICUCA",1
"FICUCG",9
"FICUCH",1
"FICUCO",14
"FICUCP",4
"FICUDR",5
"FICUER",80
"FICUGL",6
"FICUGU",53
"FICUHI",1
"FICUHO",38
"FICUME",30
"FICUMO",30
"FICUNO",66
"FICUPA",2
"FICUPO",53
"FICUPR",27
"FICUPS",35
"FICUPU",49
"FICURU",132
"FICUSE",28
"FICUST",58
"FICUSU",38
"FICUTR",17
"FICUVA",71
"FICUVI",13
"FICUVR",5
"FICUWA",21
"FLACRU",3
"FLACZI",3
"FRIEGL",2
"GANOFA",18
"GARCAS",6
"GARCDU",13
"GARCHU",11
"GARCLE",3
"GARCMA",1
"GARDHA",17
"GARU01",1
"GARUFL",51
"GASTSP",24
"GIGASC",29
"GLOCAN",13
"GMELMO",84
"GNETCO",2
"GNETGN",1288
"GOMPMO",2
"GOMPPA",34
"GONI01",5
"GONI03",1
"GONIAR",3
"GONIIM",1
"GONOLI",20
"GORDAM",5
"GRAPPI",3
"GUIOCO",13
"GYMNPA",1229
"HAPLFL",167
"HAPLFU",4
"HAPLLA",23
"HAPLLO",3
"HARPAE",2
"HARPAR",11
"HARPLO",24
"HARPRA",18
"HELILA",5
"HERILI",1
"HERNOV",1
"HIBIEL",2
"HIBIPA",23
"HIBITI",2
"HOMAFO",27
"HOPEIR",53
"HORSBA",548
"HORSHE",142
"HORSIR",58
"HORSMA",1
"HORSSI",2
"HORSSP",4
"HORSSU",37
"HORSSY",112
"HYDRBE",1
"HYDRCO",12
"INTSBI",194
"INTSPA",1
"IXORAM",5
"IXORTI",13
"JAGEJA",1
"KIBA01",24
"KINGAL",90
"KINGNO",119
"KLEIHO",29
"KOPSFL",3
"LAGEAR",4
"LAGEPI",4
"LEEAIN",22
"LEPICO",75
"LEPIMI",5
"LEPITE",2
"LEPIXY",11
"LICUBE",3
"LITSCO",75
"LITSGL",12
"LITSGU",15
"LITSTI",179
"MACAAL",84
"MACABI",146
"MACAFA",51
"MACAIN",31
"MACANE",92
"MACAPU",85
"MACAQU",29
"MACATA",46
"MALL01",8
"MALL02",7
"MALLFL",1
"MALLOB",128
"MALLPE",8
"MANGIN",4
"MANGMI",5
"MANILE",11
"MANIME",31
"MANIPL",13
"MANIPS",98
