,sp,wanang
1,ABRUPR,AM
2,ACER01,AM
3,ACERLE,AM
4,ACEROP,AM
5,ACTI01,AM
6,ACTINI,AM
7,ADENNO,AM
8,ADENPA,AM
9,AGANHE,AM
10,AGLA01,AM
11,AGLA02,AM
12,AGLA04,AM
13,AGLAAR,AM
14,AGLABN,AM
15,AGLABR,AM
16,AGLABS,AM
17,AGLACA,AM
18,AGLACO,AM
19,AGLACU,AM
20,AGLADE,AM
21,AGLAIN,AM
22,AGLALE,AM
23,AGLARI,AM
24,AGLASA,AM
25,AGLASU,AM
26,AGLATO,AM
27,AILAIN,AM
28,ALANJA,AM
29,ALANVI,AM
30,ALBIPR,AM
31,ALLOCO,AM
32,ALPHIN,AM
33,ALSEAR,AM
34,ALSTBR,AM
35,ALSTSC,AM
36,ANTHCH,AM
37,ANTIAN,AM
38,ANTIOL,AM
39,ANTITO,AM
40,APHA01,AM
41,APHAPH,AM
42,APHAPO,AM
43,APORPA,AM
44,ARCHGL,AM
45,ARCHLU,AM
46,ARCHPT,AM
47,ARDIIM,AM
48,ARDILA,AM
49,ARTOAL,AM
50,ARTOCA,AM
51,ARTOCO,AM
52,ARTOFR,AM
53,ARTOLA,AM
54,ARTOSE,AM
55,ARYTLI,AM
56,ASTRAC,AM
57,ASTRMO,AM
58,BAMB01,AM
59,BAMBFO,AM
60,BARRAP,AM
61,BARRCA,AM
62,BARRNO,AM
63,BARRRA,AM
64,BOMBCE,AM
65,BREYCE,AM
66,BRIDMA,AM
67,BUCHAR,AM
68,BUCHMO,AM
69,CALDNY,AM
70,CALLAR,AM
71,CALLFA,AM
72,CALLLO,AM
73,CALLPE,AM
74,CALLPR,AM
75,CALOMU,AM
76,CALOSO,AM
77,CANAAC,AM
78,CANAAS,AM
79,CANAHI,AM
80,CANAIN,AM
81,CANAMA,AM
82,CANAOD,AM
83,CANAOL,AM
84,CANAPO,AM
85,CANASC,AM
86,CANAVI,AM
87,CANT01,AM
88,CARABR,AM
89,CARYRU,AM
90,CASECL,AM
91,CELT01,AM
92,CELTLA,AM
93,CELTNY,AM
94,CELTPH,AM
95,CERBFL,AM
96,CHIOBR,AM
97,CHIORA,AM
98,CHIOSE,AM
99,CHIOTR,AM
100,CHISCE,AM
101,CHISCU,AM
102,CHISFO,AM
103,CHISLA,AM
104,CHISLO,AM
105,CHISMO,AM
106,CHISPA,AM
107,CHISSC,AM
108,CHISTR,AM
109,CHISWE,AM
110,CHRYRO,AM
111,CINNGR,AM
112,CITRSU,AM
113,CLAO01,AM
114,CLAOPO,AM
115,CLEIJA,AM
116,CLERIN,AM
117,CLERTR,AM
118,CLYMPA,AM
119,COMMBA,AM
120,CORDTE,AM
121,CROTWO,AM
122,CRYP01,AM
123,CRYP02,AM
124,CRYP03,AM
125,CRYPAP,AM
126,CRYPCA,AM
127,CRYPDE,AM
128,CRYPDP,AM
129,CRYPEN,AM
130,CRYPLA,AM
131,CRYPLE,AM
132,CRYPMA,AM
133,CRYPME,AM
134,CRYPMS,AM
135,CRYPMU,AM
136,CRYPNO,AM
137,CRYPVI,AM
138,CUPA01,AM
139,CUPAAC,AM
140,CUPACU,AM
141,CUPAMA,AM
142,CYAT01,AM
143,CYATOB,AM
144,CYATPO,AM
145,CYCLLO,AM
146,CYRTER,AM
147,DECA01,AM
148,DECA02,AM
149,DECARH,AM
150,DESMOR,AM
151,DICHPA,AM
152,DICLPA,AM
153,DICTOB,AM
154,DILLPA,AM
155,DIOSAR,AM
156,DIOSEL,AM
157,DIOSFE,AM
158,DIOSFO,AM
159,DIOSHE,AM
160,DIOSLO,AM
161,DIOSPE,AM
162,DRACDA,AM
163,DRACLE,AM
164,DRYPLA,AM
165,DRYPOB,AM
166,DUABMO,AM
167,DYSO02,AM
168,DYSO04,AM
169,DYSO05,AM
170,DYSOAB,AM
171,DYSOAC,AM
172,DYSOAH,AM
173,DYSOAL,AM
174,DYSOAN,AM
175,DYSOAR,AM
176,DYSOAT,AM
177,DYSOBR,AM
178,DYSOCA,AM
179,DYSOCO,AM
180,DYSOEX,AM
181,DYSOGA,AM
182,DYSOMI,AM
183,DYSOMO,AM
184,DYSOMY,AM
185,DYSOPA,AM
186,DYSOPE,AM
187,DYSORI,AM
188,DYSOSE,AM
189,ELAE01,AM
190,ELAEAL,AM
191,ELAEAM,AM
192,ELAEDO,AM
193,ELAELE,AM
194,ELAEMI,AM
195,ELAESC,AM
196,ELAESP,AM
197,ELAEUN,AM
198,ELAEWO,AM
199,ENDIBR,AM
200,ENDIDI,AM
201,ENDISQ,AM
202,ENDOLA,AM
203,ENDOMA,AM
204,ENDOME,AM
205,ERIAFR,AM
206,ERYTCA,AM
207,EUPOLA,AM
208,EUROPA,AM
209,FARASP,AM
210,FICU01,AM
211,FICUAB,AM
212,FICUAD,AM
213,FICUAL,AM
214,FICUAP,AM
215,FICUAR,AM
216,FICUAU,AM
217,FICUBA,AM
218,FICUBE,AM
219,FICUBO,AM
220,FICUCA,AM
221,FICUCG,AM
222,FICUCH,AM
223,FICUCO,AM
224,FICUCP,AM
225,FICUDR,AM
226,FICUED,AM
227,FICUER,AM
228,FICUGL,AM
229,FICUGU,AM
230,FICUHI,AM
231,FICUHO,AM
232,FICUME,AM
233,FICUMO,AM
234,FICUNO,AM
235,FICUOD,AM
236,FICUPA,AM
237,FICUPH,AM
238,FICUPO,AM
239,FICUPR,AM
240,FICUPS,AM
241,FICUPU,AM
242,FICURU,AM
243,FICUSE,AM
244,FICUST,AM
245,FICUSU,AM
246,FICUTR,AM
247,FICUVA,AM
248,FICUVI,AM
249,FICUVR,AM
250,FICUWA,AM
251,FINLOV,AM
252,FLACRU,AM
253,FLACZI,AM
254,FRIEGL,AM
255,GANOFA,AM
256,GARCAS,AM
257,GARCDU,AM
258,GARCHU,AM
259,GARCLA,AM
260,GARCLE,AM
261,GARCMA,AM
262,GARDHA,AM
263,GARU01,AM
264,GARUFL,AM
265,GASTSP,AM
266,GIGASC,AM
267,GLOCAN,AM
268,GLOCNO,AM
269,GMELMO,AM
270,GMELPA,AM
271,GOMP01,AM
272,GOMPMO,AM
273,GOMPPA,AM
274,GONI01,AM
275,GONI03,AM
276,GONIAR,AM
277,GONIIM,AM
278,GONOLI,AM
279,GORDAM,AM
280,GREWGL,AM
281,GUIOCO,AM
282,GYMNPA,AM
283,HAPL01,AM
284,HAPLFL,AM
285,HAPLFU,AM
286,HAPLLA,AM
287,HARPAE,AM
288,HARPAR,AM
289,HARPCR,AM
290,HARPLO,AM
291,HARPRA,AM
292,HERILI,AM
293,HERNOV,AM
294,HIBI01,AM
295,HIBIEL,AM
296,HIBIPA,AM
297,HIBITI,AM
298,HOMAFO,AM
299,HOMANO,AM
300,HORNLY,AM
301,HORSBA,AM
302,HORSHE,AM
303,HORSIR,AM
304,HORSMA,AM
305,HORSSI,AM
306,HORSSP,AM
307,HORSSU,AM
308,HORSSY,AM
309,HYDRBE,AM
310,HYDRCO,AM
311,INOCFA,AM
312,IXORAM,AM
313,IXORTI,AM
314,JAGEJA,AM
315,KIBA01,AM
316,KINGAL,AM
317,KINGMI,AM
318,KINGNO,AM
319,KLEIHO,AM
320,LAGEAR,AM
321,LAGEPI,AM
322,LEEAIN,AM
323,LEPICO,AM
324,LEPIMI,AM
325,LEPITE,AM
326,LEPIXY,AM
327,LICUBE,AM
328,LITS01,AM
329,LITS02,AM
330,LITSCO,AM
331,LITSGL,AM
332,LITSGU,AM
333,LITSTI,AM
334,LOPHTO,AM
335,MACAAL,AM
336,MACABI,AM
337,MACAFA,AM
338,MACAIN,AM
339,MACANE,AM
340,MACANO,AM
341,MACAPU,AM
342,MACAQU,AM
343,MACATA,AM
344,MACLAM,AM
345,MACRPO,AM
346,MAESED,AM
347,MALL01,AM
348,MALL02,AM
349,MALLEX,AM
350,MALLFL,AM
351,MALLOB,AM
352,MALLPE,AM
353,MANGIN,AM
354,MANGMI,AM
355,MANIFO,AM
356,MANILE,AM
357,MANIME,AM
358,MANIPL,AM
359,MANIPS,AM
360,MANISC,AM
361,MARACO,AM
362,MASTPA,AM
363,MEDICR,AM
364,MEDULA,AM
365,MELAMU,AM
366,MELIEL,AM
367,MELIPI,AM
368,MELOUM,AM
369,MERR01,AM
370,MERRME,AM
371,MERRPE,AM
372,MICM01,AM
373,MICR01,AM
374,MICR02,AM
375,MICRAR,AM
376,MICRGR,AM
377,MICRMI,AM
378,MICRPY,AM
379,MICRST,AM
380,MILLPI,AM
381,MISCLA,AM
382,MISCSU,AM
383,MORICI,AM
384,MYRI01,AM
385,MYRIBU,AM
386,MYRICR,AM
387,MYRIFA,AM
388,MYRIFI,AM
389,MYRIGL,AM
390,MYRIHO,AM
391,MYRIIN,AM
392,MYRILA,AM
393,MYRIMA,AM
394,MYRISC,AM
395,MYRISU,AM
396,NAUCOR,AM
397,NEISCI,AM
398,NEONMA,AM
399,NEONOB,AM
400,NEOSFO,AM
401,NEUBCO,AM
402,OCTOSU,AM
403,OMPHPA,AM
404,ORANLA,AM
405,OSMONO,AM
406,OXYMGR,AM
407,PALAGA,AM
408,PALAMO,AM
409,PALAWA,AM
410,PANGED,AM
411,PAPUAA,AM
412,PARAVE,AM
413,PARKVE,AM
414,PAVEPL,AM
415,PHAE01,AM
416,PHAEMA,AM
417,PHALMA,AM
418,PHALPE,AM
419,PHYL01,AM
420,PHYLCL,AM
421,PICRJA,AM
422,PIMEAM,AM
423,PIPTAR,AM
424,PITT01,AM
425,PITTSI,AM
426,PLANMY,AM
427,PLANPA,AM
428,PLANTH,AM
429,PLANXY,AM
430,PLEIFI,AM
431,PODONE,AM
432,POLY01,AM
433,POLYGL,AM
434,POLYOB,AM
435,POMEPI,AM
436,POPOPI,AM
437,POUTKE,AM
438,PRAIPA,AM
439,PREMOB,AM
440,PROTMA,AM
441,PRUNGA,AM
442,PRUNSC,AM
443,PSYC01,AM
444,PSYCBE,AM
445,PSYCCH,AM
446,PSYCLE,AM
447,PSYCMI,AM
448,PSYCRA,AM
449,PSYDCY,AM
450,PTERBE,AM
451,PTERHO,AM
452,PTERIN,AM
453,RHODSE,AM
454,RHUSTA,AM
455,RHYT01,AM
456,RHYTLO,AM
457,RHYTNO,AM
458,RINOBE,AM
459,RYPAAM,AM
460,RYPACA,AM
461,RYPAJA,AM
462,SANDKO,AM
463,SARCCO,AM
464,SAURPO,AM
465,SAURPU,AM
466,SEME01,AM
467,SEMEAU,AM
468,SEMEFO,AM
469,SEMEMA,AM
470,SEMESC,AM
471,SEMEUN,AM
