"","allsp","","","","","","","","","","","","","","","","","","","","","","","","","abund"
"1","ABRUPR","0.833777528886312","0.888762198783831","0.955687908107508","0.967191991528822","0.977010563910795","1.00092346799298","0.972904915401579","0.96227498968056","0.538","0.462","0.712","0.8","0.854","0.974","0.78","0.676","-0.749519914986194","-0.741040677689383","-0.369304378446503","-0.299487402685244","-0.241192185937536","-0.0130121695913245","-0.33592445355686","-0.49150658538797","4"
"2","ACER01","1.08759879293002","1.20505609958032","1.31111047224778","1.32488205930575","1.27410489607014","1.17516211087071","1.16782609221028","1.13428049036358","0.77","0.364","0.106","0.074","0.062","0.148","0.136","0.176","0.3253995203692","0.91960640811375","1.71871034933374","2.00092432206324","1.94895285244895","1.47926923724808","1.60614436686802","1.39678789298482","2"
"3","ACERLE","0.930433486050781","1.04582717572372","1.06221549075511","1.05801171756588","1.0690080987816","1.06854207107102","1.05734880806511","1.04623372846632","0.68","0.63","0.466","0.456","0.334","0.278","0.34","0.396","-0.476607201815993","0.46771990131911","0.717600704468583","0.754776303474517","0.97755602942875","1.04939066671033","0.953033677151585","0.827641581868951","11"
"4","ACEROP","1.01729489359884","1.05556915370157","1.04072516146101","1.04394782930226","1.0455398992882","1.04144091272071","1.04179858950398","1.04008018079911","0.664","0.02","0.056","0.016","0.004","0.008","0.004","0.002","0.481713419154706","2.28622178427083","1.93472966683446","2.32336846146546","2.63664950208644","2.59851200070583","2.79540195020709","2.86572787306675","179"
"5","ACTI01","0.994814305591083","1.00283405837905","0.96657145281503","0.981048091216347","0.974563645459329","0.957045863963025","0.95884735613938","0.964818600946827","1","0.926","0.592","0.732","0.618","0.388","0.344","0.414","-0.0559629346538051","0.0613628941780201","-0.537002311807246","-0.32765509740667","-0.483684559973989","-0.896613516062952","-0.908530470376707","-0.831108050610882","19"
"6","ACTINI","1.07266086768111","1.07804414155904","1.06970686010816","1.05823590264331","1.0498233435969","1.04471870285097","1.03930633511325","1.0342703175073","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","3.91166435546581","6.32544255584081","6.81636173780278","6.34547004724872","5.88517157086737","5.66466739465002","5.28066346258315","4.90673060570601","724"
"7","ADENNO","1.17336463664523","1.00534597085849","1.02445661045402","1.04324707363133","1.08428725762846","1.1123533960844","1.11509541444192","1.12705583162274","0.41","0.968","0.812","0.682","0.424","0.258","0.236","0.176","0.889783126338786","0.0714519528556413","0.245370779587239","0.404944025823359","0.810898066966689","1.11335753264904","1.18751323209416","1.34713277138265","5"
"8","ADENPA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"9","AGANHE","1.06703775957172","1.05045477510917","1.04263298038158","1.04085994481085","1.03460995848709","1.02825963395941","1.02448754607976","1.02477365974439","0.012","0.006","0.006","0.004","0.006","0.012","0.012","0.008","2.60172946567135","2.91476785155887","2.98476230681598","3.31547462814272","3.08944292828972","2.73677439916284","2.52658778550817","2.70005466618266","351"
"10","AGLA01","1.07285272165699","1.03249338936479","1.02124309244066","1.01790331822648","1.01541435330043","1.01069812212005","1.00870784782529","1.00778342437448","0.002","0.002","0.008","0.012","0.024","0.07","0.118","0.136","5.19508379024626","3.35553281598931","2.64748427336348","2.49659141338215","2.34487717481607","1.77152410776371","1.57862408035259","1.51816908910151","1201"
"11","AGLA02","1.02801047276694","1.06725771351246","1.0596993535508","1.05640530511631","1.04717157716512","1.03623591246843","1.03091262934993","1.02252381036055","0.582","0.098","0.088","0.056","0.06","0.154","0.174","0.272","0.541254709322295","1.66514827782833","1.80345780567502","1.96157917582586","1.79701715687979","1.49384801654057","1.36794983403761","1.06464611957337","62"
"12","AGLA04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"13","AGLAAR","1.09812270618445","1.06174521961767","1.04708552862581","1.03436083881359","1.02851942169754","1.02369822369282","1.02146968712124","1.01885358342669","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","7.39565381421219","6.61888098086325","6.11356626954155","4.97807152300137","4.49245124469531","4.07611205755492","4.03093105918355","3.81600489704107","1154"
"14","AGLABN","1.05208439284969","1.03853384846666","1.03524936080551","1.02809510904311","1.02367861129607","1.02293625966468","1.02139884824454","1.02112746400842","0.006","0.006","0.004","0.006","0.004","0.002","0.002","0.002","3.11746907623991","3.35359251706236","3.72439931916122","3.40937053193381","3.17543916434052","3.34222991246467","3.38459876244168","3.60347233727326","819"
"15","AGLABR","1.04473132828598","1.02619479419049","1.01965312348782","1.01737422173042","1.0131466416289","1.00943458527812","1.00874091265428","1.00804318199003","0.004","0.012","0.012","0.01","0.032","0.1","0.1","0.11","3.49885649629231","2.853515114759","2.61688012520555","2.65218784678148","2.19329997892077","1.70319557431336","1.69302481484727","1.66037653701747","1328"
"16","AGLABS","1.24509767975698","1.13547145498318","1.07481467902499","1.03865623500944","1.01132228311354","0.999616530508215","1.01668455224303","1.03481449980493","0.006","0.022","0.112","0.348","0.756","0.984","0.636","0.278","2.94547426489491","2.41014087098752","1.62545631867754","0.96113744986597","0.310881217175781","-7.27333822188592e-05","0.502421032621795","1.11160064594632","34"
"17","AGLACA","0.952649002599289","1.06466715871802","1.04562584754267","1.02042518482132","0.986667973161508","0.971546840136519","0.965110814954877","0.961479906433801","0.584","0.288","0.362","0.634","0.786","0.48","0.37","0.292","-0.580365297636984","1.06189290201056","0.868802914387877","0.43935819160516","-0.299759588791843","-0.70109321786106","-0.911462708004452","-1.06922556142796","30"
"18","AGLACO","1.18980249792173","1.07924672114763","1.05267733549804","1.04370061539455","1.03359536796037","1.0342327373842","1.03833720059284","1.03986608022523","0.002","0.022","0.064","0.094","0.138","0.114","0.068","0.036","3.74490104708956","2.29343057830177","1.86199670764302","1.74530048028374","1.4695601805446","1.60587501656166","1.93601342262741","2.14937698748673","95"
"19","AGLACU","1.02000812277344","0.974183946633087","0.98382426913775","0.985780280468204","0.993467692265166","0.997408286295149","0.995250562944537","0.994097129840158","0.668","0.456","0.608","0.606","0.82","0.936","0.822","0.79","0.454368848489207","-0.738314510985543","-0.513310800937074","-0.501092762787245","-0.22302438601923","-0.0708375526011999","-0.187391895529413","-0.266320209312913","99"
"20","AGLADE","0.994124538820169","1.00183308669036","0.989028607348977","0.984257407826623","0.992153152007344","0.995843653456944","1.00516678640874","0.995601488662438","0.994","0.982","0.836","0.752","0.908","0.96","0.86","0.962","-0.0603756392796997","0.0534991219531346","-0.184978014144818","-0.302670340978865","-0.141069628760208","-0.0520234507515759","0.188599215064267","-0.0785318813816567","27"
"21","AGLAIN","0.44886766213497","0.61704526290948","0.637429859255886","0.633827411770464","0.646225998847063","0.650926967228838","0.655951089109153","0.651176714326611","0.126","0.132","0.102","0.064","0.056","0.042","0.024","0.014","-1.46204457224193","-1.3461522441738","-1.4811407527535","-1.66323656683659","-1.70730276989155","-1.78804018786406","-1.87073927027448","-2.02057012585046","2"
"22","AGLALE","1.06837952927842","1.04326041051795","1.03017235112052","1.02511126969528","1.02237450055326","1.01864843899882","1.01688828739265","1.01496738657767","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","7.50858108823888","6.60307513377625","5.40412465700416","4.92649186285048","4.82473259275691","4.36008631956476","4.27957288774988","4.06256554096054","2515"
"23","AGLARI","1.04659545691886","1.02878392237911","1.01351196959762","1.01127926458928","1.00939079670719","1.00609955307934","1.0051709547488","1.00442630813596","0.002","0.002","0.004","0.006","0.02","0.098","0.142","0.19","5.28159783781474","4.92549100239818","2.74671686573851","2.57670789693272","2.35968794804866","1.64777016576182","1.48008882523197","1.34039746593086","3150"
"24","AGLASA","1.09026255729847","1.05885758131357","1.02959439218814","1.01937921772012","1.0088982914579","1.0052532229769","1.01201165983936","1.00771346295113","0.042","0.042","0.218","0.346","0.632","0.766","0.458","0.63","2.20399736245032","2.09469385817625","1.281824394774","0.940907121825389","0.475268853061274","0.304990597242001","0.738408204302431","0.507315471927978","135"
