"","allsp","","","","","","","","","abund"
"1","ABRUPR","0.833777528886312","0.888762198783831","0.955687908107508","0.967191991528822","0.977010563910795","1.00092346799298","0.972904915401579","0.96227498968056","4"
"2","ACER01",NA,NA,NA,NA,NA,NA,NA,NA,"2"
"3","ACERLE","0.930433486050781","1.04582717572372","1.06221549075511","1.05801171756588","1.0690080987816","1.06854207107102","1.05734880806511","1.04623372846632","11"
"4","ACEROP","1.01518851638338","1.05396556877995","1.04076591227589","1.04449847082399","1.04680611797699","1.0430830134526","1.04333616149542","1.04142082040307","179"
"5","ACTI01","0.980798134508808","1.00296399934025","0.973469337004199","0.992786002558109","0.986680881612753","0.967844466261121","0.967404009526941","0.972339928212475","19"
"6","ACTINI","1.07170483513104","1.07550152203883","1.06832189892792","1.05745368666576","1.0495937788915","1.0447304741002","1.03931618816047","1.03431393699983","724"
"7","ADENNO","1.26828438153696","1.19118847361222","1.19717640785292","1.19236428980482","1.20440492404404","1.21529785430782","1.19848419000453","1.21771957558277","5"
"8","ADENPA",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"9","AGANHE","1.06111711874","1.04950011202109","1.03933346550932","1.03764720706664","1.03082536030838","1.02305245948822","1.02024562090629","1.0207877813157","351"
"10","AGLA01","1.07524684349734","1.03349044581166","1.02230563491662","1.01857764463916","1.01580333980869","1.01102999907483","1.00907142039076","1.00818217144626","1201"
"11","AGLA02","1.03258222155349","1.07049549882341","1.06615026411308","1.06231279547367","1.04884408976691","1.03622136907492","1.03193060002508","1.02283188801414","62"
"12","AGLA04",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"13","AGLAAR","1.10102549593296","1.06304082524157","1.04897325702297","1.03528555140349","1.02927440454564","1.02429733823279","1.02198713358914","1.01943157287932","1154"
"14","AGLABN","1.05450709784003","1.03963452969185","1.03567473343946","1.02795906729195","1.02334635285422","1.0216421204488","1.02029478324047","1.02030483875799","819"
"15","AGLABR","1.04866019825856","1.02803623941847","1.02144337827506","1.01815738642296","1.01335691884415","1.01001360740572","1.00885853562305","1.00807176357418","1328"
"16","AGLABS","1.24003560808702","1.13794207366548","1.07456812041938","1.04141314240156","1.01651842222073","1.00223306620394","1.02019004166264","1.03706898694602","34"
"17","AGLACA","0.953635708445576","1.07136909351983","1.05349470925465","1.02089349379148","0.989974400808084","0.975092630546613","0.969695459847229","0.965723739014515","30"
