"","allsp","","","","","","","","","","","","","","","","","","","","","","","","","abund"
"1","ABRUPR","0.802411851074498","0.818648467585209","0.869679488499531","0.931318989445493","0.958894967324228","0.999934781528002","0.969270591881079","0.983473499878039","0.436","0.202","0.216","0.416","0.55","0.986","0.588","0.71","-0.889022348907371","-1.30336838086602","-1.24746266449556","-0.824732246863302","-0.602830529550038","-0.0200892566211244","-0.626164440932818","-0.397162311111373","4"
"2","ACER01","1.17277178628982","1.29932154972326","1.3529555366725","1.25282178388889","1.20557480690802","1.08100737828825","1.07341495298113","1.03708589412755","0.62","0.182","0.03","0.034","0.008","0.258","0.224","0.55","0.619520553112256","1.45202900748518","2.47843736375525","2.15420660361608","2.19124148746236","1.18618467422849","1.29613399415556","0.719336935236824","2"
"3","ACERLE","0.912654075487569","0.989529458276268","1.05150464924874","1.02790172130598","1.03588891020859","1.04391495389091","1.04640581288794","1.03329551569403","0.518","0.942","0.438","0.614","0.464","0.294","0.208","0.318","-0.688804020588167","-0.121615561442213","0.786128856673319","0.530834901575765","0.761712966973461","1.06157845882044","1.26950509307702","1.01949803173354","11"
"4","ACEROP","1.01664491124294","1.05328848805663","1.02744460358343","1.0294871510296","1.02884212641897","1.01742971264422","1.0165664581604","1.01643523841247","0.654","0.014","0.122","0.044","0.022","0.114","0.074","0.056","0.478480248625228","2.47857905776344","1.56621820630222","2.04676212790216","2.31460061679109","1.61928646989792","1.71715408768714","1.90410863748008","179"
"5","ACTI01","1.0125743212983","1.05325700966525","1.00011536248851","1.02122938571332","1.02022771597903","0.99917105693225","1.0010553165734","1.00445949772403","0.924","0.382","0.97","0.622","0.58","0.974","0.958","0.894","0.117698879860213","0.881005076630137","0.0341825426317506","0.541172836031762","0.590471006541693","-0.00488184611091677","0.0641220765702459","0.183517519477372","19"
"6","ACTINI","1.07575995301442","1.06031440787239","1.04268024201662","1.02632669281292","1.01307909378899","1.00638182193315","1.00370839295955","0.999725412395181","0.002","0.002","0.002","0.002","0.03","0.206","0.398","0.956","4.34183601905735","5.60468967825382","5.12313058097169","3.87241052348644","2.27961039694796","1.27855223346524","0.830512209854441","-0.0400915496921207","724"
"7","ADENNO","1.12233793184409","0.864188393006918","0.978019244128966","1.01889313283861","1.04193419951119","1.04602428130276","1.05151785130159","1.04728125334132","0.556","0.306","0.844","0.822","0.546","0.456","0.356","0.356","0.665919295982856","-1.02931646981493","-0.167869686850805","0.262012695584323","0.623006338056423","0.762068681689037","0.931669361986157","0.940664731161448","5"
"8","ADENPA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"9","AGANHE","1.07221186824945","1.05190243047666","1.04335317821153","1.02939855397015","1.0201138563692","1.01564307714421","1.00766460037312","1.00495960832112","0.006","0.004","0.002","0.006","0.018","0.02","0.214","0.378","2.94352943115755","3.45654626730417","3.68957608951104","3.12882233617098","2.49067470528908","2.26454472640161","1.25290327246864","0.889315932111346","351"
"10","AGLA01","1.08200833377396","1.03854655117942","1.02589777087558","1.01740800593243","1.01212470740104","1.00854067232152","1.00545301517354","1.00410087819583","0.002","0.002","0.002","0.002","0.008","0.026","0.118","0.198","6.17901979218175","4.46174941096324","3.97132385095981","3.23196817513963","2.67519458657574","2.15320211475162","1.56842350377967","1.31841213630507","1201"
"11","AGLA02","1.00629628218406","1.06283611205693","1.03643190680769","1.034301837353","1.03531058854403","1.02438797211941","1.02099954587475","1.01632373431255","0.856","0.072","0.208","0.122","0.06","0.144","0.142","0.212","0.177107316201477","1.75081342562127","1.3219188263208","1.54735172978808","1.87175360223926","1.48415840199443","1.45411181290729","1.24301627829365","62"
"12","AGLA04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"13","AGLAAR","1.11013176477277","1.06523647030898","1.04256557439095","1.02984749494189","1.02242186006036","1.01567831689918","1.01337548680193","1.01079259510609","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","8.62920026429547","8.18003969603649","6.72813399605352","5.68037660260391","4.98969569495446","3.88773008834021","3.7521516770294","3.37966076531799","1154"
