"","allsp","","","","","","","","","abund"
"1","ABRUPR","0.802411851074498","0.818648467585209","0.869679488499531","0.931318989445493","0.958894967324228","0.999934781528002","0.969270591881079","0.983473499878039","4"
"2","ACER01",NA,NA,NA,NA,NA,NA,NA,NA,"2"
"3","ACERLE","0.912654075487569","0.989529458276268","1.05150464924874","1.02790172130598","1.03588891020859","1.04391495389091","1.04640581288794","1.03329551569403","11"
"4","ACEROP","1.01157872423208","1.05987373761793","1.0316743839035","1.03232437363539","1.03155702750686","1.01956075818181","1.01848246087064","1.01708604845147","179"
"5","ACTI01","1.0155944608239","1.04783931195426","0.997012557860329","1.02654151703995","1.0255817205449","1.00112489385651","1.00319823841734","1.00891966552294","19"
"6","ACTINI","1.06918891257349","1.05959804626569","1.04404136643416","1.02794321736732","1.01461066033355","1.00685380835365","1.00415191430973","0.9998858492908","724"
"7","ADENNO","1.23957426399443","0.962926965645289","1.09028910209879","1.09620323471688","1.09690358091713","1.09220087629742","1.08744306376997","1.07473025562864","5"
"8","ADENPA",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"9","AGANHE","1.05895001162905","1.04603361576964","1.03922243229387","1.02851343160597","1.02061846354796","1.01707688986115","1.00945761191236","1.0057320908052","351"
"10","AGLA01","1.08555006627642","1.0421842154526","1.02881721891545","1.0195920022379","1.01390953636298","1.01035501438416","1.00716309785862","1.00549200159385","1201"
"11","AGLA02","0.999420884906619","1.0789545060243","1.04159111983681","1.04192599844392","1.04220858203288","1.0296970565051","1.02808021056631","1.02186551892752","62"
"12","AGLA04",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"13","AGLAAR","1.11142783869004","1.06549209900912","1.04457998871982","1.03106053210324","1.02343141277531","1.01617447222721","1.01304812729391","1.01109625326991","1154"
"14","AGLABN","1.05107085461036","1.01537159881748","0.999395116960829","0.989028228685654","0.98190918114554","0.978678281805448","0.978455857314427","0.978016064572437","819"
"15","AGLABR","1.05870886327608","1.03126929919253","1.01938719428065","1.01489602758419","1.00733347478512","1.00511768301252","1.0036466431173","1.00238426764915","1328"
"16","AGLABS","1.24626369140481","1.14869326137273","1.07206866623923","1.06400522812213","1.04358465310164","1.02304719364812","1.03690104792316","1.03171506188132","34"
"17","AGLACA","0.979386679341407","1.06564986549327","1.03017255711928","0.994045978574112","0.997184579211222","0.992544693483995","0.987515366049068","0.986455504030082","30"
"18","AGLACO","1.14961944517976","1.04557582248871","1.02373752683607","1.02443247610219","1.01972816071316","1.0202698363619","1.02102281971363","1.01903630829424","95"
"19","AGLACU","1.03318626974012","0.991296493447256","1.00495908874689","1.01746074000912","1.02852312091111","1.03075254925835","1.02955059558273","1.03449871889921","99"
"20","AGLADE","1.03018540151813","0.999794121329477","0.988608338010347","0.99213592341131","0.998488113167239","1.00158429380686","1.00171153837555","0.992958152768257","27"
"21","AGLAIN","0.498317686774561","0.680320719812332","0.773464254895514","0.758670433235424","0.781269184084882","0.757029962049236","0.736588876303241","0.750227852918183","2"
"22","AGLALE","1.07108176692912","1.04073128181476","1.02043189655123","1.01393047384357","1.00937588429596","1.00647044841617","1.00468377837932","1.00279578602225","2515"
"23","AGLARI","1.06268899355528","1.04147555013579","1.02443972848352","1.01800554538996","1.01335206512776","1.00940752829645","1.00728591663226","1.00711109041175","3150"
"24","AGLASA","1.09031631861421","1.05621227154493","1.02059281242127","1.01373127773417","1.0023335081856","0.995774833527333","0.996936297465813","0.993333170706341","135"
"25","AGLASU","0.955002362519399","0.936856614691934","0.944886379670807","0.974452641927467","0.986623792043252","0.990179071746096","0.993298190146574","1.00024266495206","17"
"26","AGLATO","1.04791221468398","1.03468120001613","1.02216781770105","1.01486493845002","1.01289584596748","1.00919901130785","1.00665799486749","1.00596663636941","1052"
"27","AILAIN","1.06117427368404","1.03213316510967","1.00850618783063","1.00805158103128","1.00833958956268","1.00305620064878","1.0056511347928","1.00552981085437","282"
"28","ALANJA",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"29","ALANVI","1.04788307101619","1.03589118735757","1.02776924971627","1.01893307185003","1.01350681889019","1.00964786907303","1.00728536473257","1.00465713611003","909"
"30","ALBIPR","1.03111836273836","0.983516500910919","0.969045652541714","1.02384483745119","1.01297233746997","1.01206465327433","0.990781251218049","0.997168894102469","34"
"31","ALLOCO","1.02129314718599","1.00435244920862","1.00068551177213","0.997829825889298","0.993759569715372","0.994236880385672","0.993027529308018","0.993927660358981","383"
"32","ALPHIN","0.94436244369242","0.801254863942361","0.790277007765241","0.784014642388262","0.782804019414957","0.860121817737466","0.935549912932072","0.962413550217192","9"
"33","ALSEAR","0.867309649093153","0.978099023212114","1.00648600955136","1.0131134417788","1.01479540359025","1.01256898802608","1.01139376396944","1.00840957134359","95"
"34","ALSTBR",NA,NA,NA,NA,NA,NA,NA,NA,"2"
"35","ALSTSC","0.83700116779265","0.88090056486057","0.920646414139576","0.952035104238615","0.971343135077441","0.966779026115957","0.975066767353526","0.982775881943793","337"
"36","ANTHCH","0.84925418946028","0.866331945300722","0.943232520825644","0.943442088005108","0.967579752008808","0.998056968165256","1.00372361554987","1.0104756729836","20"
"37","ANTIAN",NA,NA,NA,NA,NA,NA,NA,NA,"1"
