"","x"
"ABARJU",1273281.21931464
"ABARLA",92330.6226908406
"ABUTGR",59991.8533129507
"ACALCU",210873.909085071
"ACALPU",516.006593352123
"ACALSD",47430.9804857353
"ACALSH",12992.841817084
"ACANAN",53271.9866269221
"ACIDNI",377917.888263584
"AEGIEL",2485.78518715292
"AEGIHA",125729.679589317
"AEGIIN",14747.4213141139
"AEGIME",11502.1561029556
"AEGIVI",85491.3754839756
"AGONPE",261334.17028703
"AGONSI",469497.670310217
"AGOUCU",14515.7288559116
"AGOUIS",283974.057745125
"AGOUVE",2700.19888576043
"AIOUGR",120109.370332045
"AIOUPE",14741.9235269701
"AIOUPS",12640.9834398819
"AIPHUL",395594.059329007
"ALBINI",447193.933266056
"ALC1CO",855.298599939821
"ALC1GL",33051.1255120914
"ALC1TR",21362522.1683305
"ALC2FL",1300762.30105191
"ALIBIT",76963.5222258062
"ALIBJO",123510.144379556
"ALIBLA",60573.0479538648
"ALIBPE",22594.3343646178
"ALIBPI",16746.2596399604
"ALLOAM",195059.917065063
"ALLOGL",667816.98975338
"ALLOPI",123236.04042053
"ALLOSC",267337.75384804
"ALSECO",4232019.82869672
"ALSOCU",25732.785425554
"AMIRAM",5942.32250426509
"AMPEED",975016.056588331
"AMPELO",27733.9799458907
"AMYRMA",62906.4658973186
"ANAXBR",51848.8451548459
"ANDIIN",107026.993124334
"ANDILA",33992.817910005
"ANDIMA",28187.154686171
"ANDIMU",51077.5841583896
"ANIBAN",55802.5395093887
"ANIBGU",1514261.01079906
"ANIBHO",438525.493736638
"ANIBRI",653695.530775494
"ANIBTA",55710.6479242712
"ANNOAM",124430.631027058
"ANNODU",114933.596435256
"ANNOMO",457653.866006183
"ANTHAM",588340.978802865
"APARCO",2829874.40572265
"APEIME",13288116.9690022
"APEITI",29739.1014570444
"APHECR",8688.07448350257
"APTATU",890587.324819432
"APULLE",120768.319391135
"ARDIDE",114111.284558179
"ARDISE",17276.4034002537
"ASPIBL",887166.130419673
"ASPIME",860571.763208872
"ASPIRI",577516.621314921
"ASPISP",86795.9218333788
"ASTCCH",4347319.42067612
"ASTCMU",1524548.15594324
"ASTRGR",878600.57804966
"ATTAMA",53092.9158456675
"BACTCO",23525.0311882438
"BACTMA",34970.6386234348
"BACTSI",1691.7476439581
"BANANI",151254.334501571
"BATOAM",87136.7846362933
"BATOCO",57658.4353694969
"BATOOR",1745795.60397046
"BAUHBR",724562.007058845
"BEILPE",682113.592521703
"BELLPE",140960.906172084
"BERTGU",7333.26265164197
"BESLQU",13283.439137541
"BESLST",78.5398163397448
"BOROCL",513318.960836977
"BROSAC",1958077.73196251
"BROSGU",1553953.46318084
"BROSLA",579101.554808657
"BROSPO",214829.174235941
"BROSUT",1210930.815317
"BROWGR",8853593.21944777
"BROWLO",1669728.22104909
"BROWRO",15174.6779150021
"BRUNSH",3440.82935384422
"BUCHCO",89727.0277791781
"BUCHGR",1454328.06234836
"BUCHMA",24619.0908298564
"BUCHPA",1327236.50234371
"BUCHPU",298251.025559364
"BUNCAR",134040.762954389
"BUNCBL",476869.417471865
"BUNCMY",23893.3829268772
"BYRSJU",129549.856256082
"BYRSPU",757050.787485944
"CABRCA",4126165.43503034
"CALCME",1650885.73371102
"CALLCA",809490.252059665
"CALOBR",407607.509636334
"CALPBI",68218.899074539
"CALPGC",918.130453011617
"CALPGI",22998.0290206041
"CALPLO",706.858347057703
"CALPPC",41217.6956150981
"CALPPE",25523.0841159269
"CALPPL",176135.748318002
"CALPPS",102054.637351864
"CALPPT",10652.3552901596
"CALPRU",272191.514497837
"CALPSE",215799.140967736
"CALPSP",80439.6944970032
"CAMPLI",227888.774896913
"CAPIDE",407401.735317524
"CAPPDE",157464.477779554
"CAPPOS",467083.356355933
"CAPPSO",300593.868280779
"CARACO",1244373.06911447
"CARDOR",1273951.16394801
"CARIBR",3716.50410919673
"CARIMI",16792.5981316008
"CAROCH",39057.0652675917
"CAROFO",91793.4103470768
"CAROTO",139709.766897792
"CARPLO",402153.704789703
"CARYGL",585830.846272647
"CASEAC",7295.5635397989
"CASEAE",745036.551780453
"CASEAR",84879.550314689
"CASEBR",211039.628097548
"CASEJA",819164.786636395
"CASENI",106155.201162963
"CASEPF",165913.005823221
"CASEPI",19156.6466034272
"CASEPR",259096.570919511
"CASESP",183590.747684971
"CASESY",161529.6986733
"CASETU",7833.56128172615
"CASEUL",514277.931994486
"CASSCO",178550.062272286
"CASTUL",1852622.32056313
"CATHAC",845563.58970451
"CECREN",627376.838320045
"CECRFI",2376032.07700344
"CECRHE",982163.965273411
"CECRMA",115543.065410052
"CECRME",54992.0086047625
"CECRPU",22091.6795400434
"CECRSC",18616672.0143226
"CEDAOD",7076841.14686699
"CEDGCA",13704627.7522188
"CEIBPE",3062576.10056487
"CELTSC",2803692.37254764
"CENTLO",1636.76977252028
"CESTME",15012.1004951788
"CESTSI",24089.7324677265
"CESTTO",878.860544841745
"CHAMPI",20308.8257091312
"CHEICO",23539.1683551849
"CHIMGL",285423.117356593
"CHIMJA",804147.188354072
"CHIOOP",199681.199858494
"CHLO2S",9498.60538812874
"CHOMCO",392472.101629502
"CHRCFR",5460.08803193906
"CHRCHU",34913.3045575068
"CHRCME",481969.793144968
"CHRCTE",27418.2498842049
"CHRYAM",770075.830627727
"CHRYAR",122329.69093997
"CHRYCU",340160.656956415
"CHRYMA",64129.3308377284
"CHRYMI",45236.5780172028
"CHRYOV",39319.3882541664
"CHRYTR",48938.159561295
"CHRYVE",235502.424692888
"CINNNA",97117.6244967481
"CINNOP",74122.7370687976
"CINNTR",31750.5061535052
"CITHPO",125036.173011037
"CLARBI",960752.44054287
"CLARRA",1247552.3608799
"CLAVDE",739.059671756999
"CLAVPR",86087.4926899943
"CLAVWE",6145.74062858503
"CLIDDI",2439.44669551247
"COCCCO",22036.7016686056
"COCCDE",2150056.53203256
"COCCGI",359501.086730077
"COCCJI",22830.7392118004
"COCCLA",139457.654087341
"COCCMO",269998.682825631
"COCCNI",705747.794054659
