"","x"
"1","ABARJU"
"2","ABARLA"
"3","ABUTGR"
"4","ACALCU"
"5","ACALPU"
"6","ACALSD"
"7","ACALSH"
"8","ACANAN"
"9","ACIDNI"
"10","AEGIEL"
"11","AEGIHA"
"12","AEGIIN"
"13","AEGIME"
"14","AEGIVI"
"15","AGONPE"
"16","AGONSI"
"17","AGOUCU"
"18","AGOUIS"
"19","AGOUVE"
"20","AIOUGR"
"21","AIOUPE"
"22","AIOUPS"
"23","AIPHUL"
"24","ALBINI"
"25","ALC1CO"
"26","ALC1GL"
"27","ALC1TR"
"28","ALC2FL"
"29","ALIBIT"
"30","ALIBJO"
"31","ALIBLA"
"32","ALIBPE"
"33","ALIBPI"
"34","ALLOAM"
"35","ALLOGL"
"36","ALLOPI"
"37","ALLOSC"
"38","ALSECO"
"39","ALSOCU"
"40","AMIRAM"
"41","AMPEED"
"42","AMPELO"
"43","AMYRMA"
"44","ANAXBR"
"45","ANDIIN"
"46","ANDILA"
"47","ANDIMA"
"48","ANDIMU"
"49","ANIBAN"
"50","ANIBGU"
"51","ANIBHO"
"52","ANIBRI"
"53","ANIBTA"
"54","ANNOAM"
"55","ANNODU"
"56","ANNOMO"
"57","ANTHAM"
"58","APARCO"
"59","APEIME"
"60","APEITI"
"61","APHECR"
"62","APTATU"
"63","APULLE"
"64","ARDIDE"
"65","ARDISE"
"66","ASPIBL"
"67","ASPIME"
"68","ASPIRI"
"69","ASPISP"
"70","ASTCCH"
"71","ASTCMU"
"72","ASTRGR"
"73","ATTAMA"
"74","BACTCO"
"75","BACTMA"
"76","BACTSI"
"77","BANANI"
"78","BATOAM"
"79","BATOCO"
"80","BATOOR"
"81","BAUHBR"
"82","BEILPE"
"83","BELLPE"
"84","BERTGU"
"85","BESLQU"
"86","BESLST"
"87","BOROCL"
"88","BROSAC"
"89","BROSGU"
"90","BROSLA"
"91","BROSPO"
"92","BROSUT"
"93","BROWGR"
"94","BROWLO"
"95","BROWRO"
"96","BRUNSH"
"97","BUCHCO"
"98","BUCHGR"
"99","BUCHMA"
"100","BUCHPA"
"101","BUCHPU"
"102","BUNCAR"
"103","BUNCBL"
"104","BUNCMY"
"105","BYRSJU"
"106","BYRSPU"
"107","CABRCA"
"108","CALCME"
"109","CALLCA"
"110","CALOBR"
"111","CALPBI"
"112","CALPGC"
"113","CALPGI"
"114","CALPLO"
"115","CALPPC"
"116","CALPPE"
"117","CALPPL"
"118","CALPPS"
"119","CALPPT"
"120","CALPRU"
"121","CALPSE"
"122","CALPSP"
"123","CAMPLI"
"124","CAPIDE"
"125","CAPPDE"
"126","CAPPOS"
"127","CAPPSO"
"128","CARACO"
"129","CARDOR"
"130","CARIBR"
"131","CARIMI"
"132","CAROCH"
"133","CAROFO"
"134","CAROTO"
"135","CARPLO"
"136","CARYGL"
"137","CASEAC"
"138","CASEAE"
"139","CASEAR"
"140","CASEBR"
"141","CASEJA"
"142","CASENI"
"143","CASEPF"
"144","CASEPI"
"145","CASEPR"
"146","CASESP"
"147","CASESY"
"148","CASETU"
"149","CASEUL"
"150","CASSCO"
"151","CASTUL"
"152","CATHAC"
"153","CECREN"
"154","CECRFI"
"155","CECRHE"
"156","CECRMA"
"157","CECRME"
"158","CECRPU"
"159","CECRSC"
"160","CEDAOD"
"161","CEDGCA"
"162","CEIBPE"
"163","CELTSC"
"164","CENTLO"
"165","CESTME"
"166","CESTSI"
"167","CESTTO"
"168","CHAMPI"
"169","CHEICO"
"170","CHIMGL"
"171","CHIMJA"
"172","CHIOOP"
"173","CHLO2S"
"174","CHOMCO"
"175","CHRCFR"
"176","CHRCHU"
"177","CHRCME"
"178","CHRCTE"
"179","CHRYAM"
"180","CHRYAR"
"181","CHRYCU"
"182","CHRYMA"
"183","CHRYMI"
"184","CHRYOV"
"185","CHRYTR"
"186","CHRYVE"
"187","CINNNA"
"188","CINNOP"
"189","CINNTR"
"190","CITHPO"
"191","CLARBI"
"192","CLARRA"
"193","CLAVDE"
"194","CLAVPR"
"195","CLAVWE"
"196","CLIDDI"
"197","COCCCO"
"198","COCCDE"
"199","COCCGI"
"200","COCCJI"
"201","COCCLA"
"202","COCCMO"
"203","COCCNI"
"204","COCCPA"
"205","COCCPB"
"206","COCCPU"
"207","COCCSU"
"208","COLUAR"
"209","COMPCA"
"210","COMPUL"
"211","CONCRH"
"212","CORDBU"
"213","CORDCH"
"214","CORDCO"
"215","CORDHE"
"216","CORDJO"
"217","CORDKI"
"218","CORDNO"
"219","CORDUC"
"220","COSSOR"
"221","COUEOB"
"222","COUEPA"
"223","COURGU"
"224","COUSBR"
"225","COUSCE"
"226","COUSDU"
"227","COUSKL"
"228","COUTGU"
"229","CREMCA"
"230","CREMGR"
"231","CREPGO"
"232","CREPRH"
"233","CRYPNO"
"234","CUPACI"
"235","CUPALI"
"236","CYATLA"
"237","CYATPU"
"238","CYBIAN"
"239","CYBIPE"
"240","CYMBCO"
"241","CYPHME"
"242","CYPHPI"
"243","DACRGO"
"244","DACRPE"
"245","DALBNI"
"246","DENBBO"
"247","DENDAR"
"248","DENDCA"
"249","DENDQU"
"250","DIALGU"
"251","DILKPA"
"252","DIOSAR"
"253","DIOSCR"
"254","DIOSEK"
"255","DIOSPS"
"256","DIOSSU"
"257","DIPLPT"
"258","DIPLPU"
"259","DIPOCU"
"260","DISCGU"
"261","DRYPAM"
"262","DRYPVA"
"263","DUGUCO"
"264","DUGUHA"
"265","DUGUQU"
"266","DUGUSP"
"267","DUGUSU"
"268","DULACA"
"269","DUROES"
"270","DUROHI"
"271","DUSSDE"
"272","DUSSPE"
"273","DUSSTE"
"274","ECCLAN"
"275","ECCLGU"
"276","ELAEGL"
"277","ENDLBR"
"278","ENDLBU"
"279","ENDLCA"
"280","ENDLDO"
"281","ENDLFA"
"282","ENDLFO"
"283","ENDLKR"
"284","ENDLPL"
"285","ENDLSE"
"286","ENDLTE"
"287","ENDLTS"
"288","ENTEBA"
"289","ERIOGL"
"290","ERISUN"
"291","ERYNAM"
"292","ERYOGR"
"293","ERYOMA"
"294","ERYOSQ"
"295","ESCHAN"
"296","ESCHBR"
"297","ESCHCO"
"298","ESCHGG"
"299","ESCHGI"
"300","ESCHGR"
"301","ESCHJU"
"302","ESCHRU"
"303","ESENAM"
"304","EUGEEG"
"305","EUGEFE"
"306","EUGEFL"
"307","EUGEGR"
"308","EUGEGV"
"309","EUGELA"
"310","EUGEMA"
"311","EUGEMC"
"312","EUGEME"
"313","EUGEMI"
"314","EUGEMN"
"315","EUGEMU"
"316","EUGEMV"
"317","EUGEPA"
"318","EUGERA"
"319","EUGESB"
"320","EUGESC"
"321","EUGESD"
"322","EUGESM"
"323","EUGESS"
"324","EUGEYA"
"325","EUPLMI"
"326","EUTEPR"
"327","EXOSMA"
"328","FARACA"
"329","FARAGL"
"330","FARAMU"
"331","FARAQU"
"332","FARATO"
"333","FARAUN"
"334","FICUAC"
"335","FICUBA"
"336","FICUCR"
"337","FICUCU"
"338","FICUDO"
"339","FICUEC"
"340","FICUGO"
"341","FICUMA"
"342","FICUNY"
"343","FICUPI"
"344","FICUPU"
"345","FICUTR"
"346","FROEDI"
"347","GARCBR"
"348","GARCMA"
"349","GARCMC"
"350","GENIAM"
"351","GEONCO"
"352","GEONMA"
"353","GEONST"
"354","GEONTR"
"355","GLOEEQ"
"356","GLOEES"
"357","GLOELO"
"358","GLYCAM"
"359","GORDFR"
"360","GRIANE"
"361","GUAPCL"
"362","GUAPGR"
"363","GUARCA"
"364","GUAREC"
"365","GUARFA"
"366","GUARFI"
"367","GUARGI"
"368","GUARGL"
"369","GUARGO"
"370","GUARGR"
"371","GUARGU"
"372","GUARGZ"
"373","GUARKU"
"374","GUARMA"
"375","GUARPB"
"376","GUARPN"
"377","GUARPS"
"378","GUARPT"
"379","GUARPU"
"380","GUARSI"
"381","GUATCI"
"382","GUATGI"
"383","GUATGL"
"384","GUATGR"
"385","GUATGS"
"386","GUATMU"
"387","GUATPC"
"388","GUATPL"
"389","GUATPU"
"390","GUATRE"
"391","GUETAC"
"392","GUSTHE"
"393","GUSTLO"
"394","HASSFL"
"395","HASSHA"
"396","HEISAC"
"397","HEISFL"
"398","HEISGR"
"399","HEISMU"
"400","HEISNI"
"401","HELITO"
"402","HERRCU"
"403","HERRNI"
"404","HIERAL"
"405","HIEROB"
"406","HIMASU"
"407","HIRTEX"
"408","HIRTRA"
"409","HUERGL"
"410","HYMAOB"
"411","HYMEST"
"412","HYOSEL"
"413","INGA3C"
"414","INGA3O"
"415","INGA4A"
"416","INGA6C"
"417","INGAAB"
"418","INGAAC"
"419","INGAAL"
"420","INGAAU"
"421","INGABO"
"422","INGABR"
"423","INGACA"
"424","INGACI"
"425","INGACN"
"426","INGACO"
"427","INGACY"
"428","INGAHE"
"429","INGALE"
"430","INGAMA"
"431","INGAMI"
"432","INGAMU"
"433","INGANO"
"434","INGAOE"
"435","INGAPO"
"436","INGAPU"
"437","INGARU"
"438","INGASA"
"439","INGASB"
"440","INGASE"
"441","INGASL"
"442","INGASP"
"443","INGASR"
"444","INGAST"
"445","INGATE"
"446","INGATH"
"447","INGATO"
"448","INGAUE"
"449","INGAUM"
"450","INGAVE"
"451","INGAVI"
"452","INGAYA"
"453","IRIADE"
"454","IRYAGR"
"455","IRYAHO"
"456","IRYAJU"
"457","IRYAPA"
"458","IXORAC"
"459","IXORKI"
"460","IXORPA"
"461","JACACO"
"462","JACAGL"
"463","JACTDI"
"464","JUSTSA"
"465","KLARNA"
"466","KOTCSE"
"467","LACIAG"
"468","LACIME"
"469","LACINE"
"470","LACMLA"
"471","LACMOB"
"472","LACUCR"
"473","LACUJE"
"474","LAETPR"
"475","LAXOTE"
"476","LEANAR"
"477","LEANBL"
"478","LECOPE"
"479","LEONCR"
"480","LEONGL"
"481","LEONOC"
"482","LICAAR"
"483","LICABL"
"484","LICACA"
"485","LICAFI"
"486","LICAHA"
"487","LICAHI"
"488","LICALG"
"489","LICALO"
"490","LICAMA"
"491","LICANE"
"492","LICAOP"
"493","LICARE"
"494","LICAUR"
"495","LICAZI"
"496","LICRBR"
"497","LICRCA"
"498","LICRGU"
"499","LINDPA"
"500","LONCSE"
"501","LOREKL"
"502","LORESP"
"503","LOZAKL"
"504","LUNAPA"
"505","MABECO"
"506","MABESU"
"507","MACHAR"
"508","MACHFI"
"509","MACNRO"
"510","MACRAN"
"511","MACRCO"
"512","MACRST"
"513","MACRYA"
"514","MAQUCA"
"515","MAQUGU"
"516","MARGNO"
"517","MARGRO"
"518","MARICO"
"519","MARIPU"
"520","MARMBA"
"521","MATAOC"
"522","MATIBR"
"523","MATICO"
"524","MATILO"
"525","MATIMA"
"526","MATIOB"
"527","MATIOQ"
"528","MAYNAN"
"529","MAYNOD"
"530","MAYTAL"
"531","MAYTCI"
"532","MAYTCU"
"533","MELCNG"
"534","MELIDO"
"535","MELIPO"
"536","MELIVA"
"537","MEMOCL"
"538","MEZIEX"
"539","MEZITR"
"540","MICOAB"
"541","MICOAC"
"542","MICOAM"
"543","MICOAT"
"544","MICOBU"
