,sp,yasuni
1,UNIDEN,uncertain
2,ABARJU,AM
3,ABARLA,AM
4,ABUTGR,AM
5,ACALCU,AM
6,ACALPU,AM
7,ACALSD,AM
8,ACALSH,AM
9,ACIDNI,AM
10,AEGIEL,AM
11,AEGIHA,AM
12,AEGIIN,AM
13,AEGIME,AM
14,AEGIVI,AM
15,AGOUCU,AM
16,AGOUIS,AM
17,AGOUVE,AM
18,AIOUGR,AM
19,AIOUPE,AM
20,AIOUPS,AM
21,AIPHUL,AM
22,ALBINI,AM
23,ALC1CO,AM
24,ALC1GL,AM
25,ALC1TR,AM
26,ALC2FL,AM
27,ALIBIT,AM
28,ALIBJO,AM
29,ALIBLA,AM
30,ALIBPE,AM
31,ALIBPI,AM
32,ALLOAM,AM
33,ALLOGL,AM
34,ALLOPI,AM
35,ALLOSC,AM
36,ALSECO,AM
37,ALSOCU,AM
38,AMIRAM,AM
39,AMPEED,AM
40,AMPELO,AM
41,AMYRMA,AM
42,ANAXBR,AM
43,ANDIIN,AM
44,ANDILA,AM
45,ANDIMA,AM
46,ANDIMU,AM
47,ANIBAN,AM
48,ANIBGU,AM
49,ANIBHO,AM
50,ANIBRI,AM
51,ANIBTA,AM
52,ANNOAM,AM
53,ANNODU,AM
54,ANNOMO,AM
55,ANTHAM,AM
56,APARCO,AM
57,APEIME,AM
58,APEITI,AM
59,APTATU,AM
60,APULLE,AM
61,ARDIDE,AM
62,ARDISE,AM
63,ASTCCH,AM
64,ASTCMU,AM
65,ASTRGR,AM
66,ATTAMA,AM
67,BACTCO,AM
68,BACTMA,AM
69,BACTSI,AM
70,BANANI,AM
71,BATOAM,AM
72,BATOCO,AM
73,BATOOR,AM
74,BAUHBR,AM
75,BEILPE,AM
76,BELLPE,AM
77,BERTGU,AM
78,BESLQU,AM
79,BESLST,AM
80,BOROCL,AM
81,BROSAC,AM
82,BROSGU,AM
83,BROSLA,AM
84,BROSPO,AM
85,BROSUT,AM
86,BUCHCO,AM
87,BUCHGR,AM
88,BUCHMA,AM
89,BUCHPA,AM
90,BUCHPU,AM
91,BUNCAR,AM
92,BUNCBL,AM
93,BUNCMY,AM
94,BYRSJU,AM
95,BYRSPU,AM
96,CABRCA,AM
97,CALCME,AM
98,CALLCA,AM
99,CALOBR,AM
100,CALPBI,AM
101,CALPGC,AM
102,CALPGI,AM
103,CALPLO,AM
104,CALPPC,AM
105,CALPPE,AM
106,CALPPL,AM
107,CALPPS,AM
108,CALPPT,AM
109,CALPRU,AM
110,CALPSE,AM
111,CALPSP,AM
112,CAMPLI,AM
113,CAPIDE,AM
114,CARACO,AM
115,CARDOR,AM
116,CARIBR,AM
117,CARIMI,AM
118,CAROCH,AM
119,CAROFO,AM
120,CAROTO,AM
121,CARPLO,AM
122,CARYGL,AM
123,CASEAC,AM
124,CASEAE,AM
125,CASEAR,AM
126,CASEBR,AM
127,CASEJA,AM
128,CASENI,AM
129,CASEPF,AM
130,CASEPI,AM
131,CASEPR,AM
132,CASESP,AM
133,CASESY,AM
134,CASETU,AM
135,CASEUL,AM
136,CASSCO,AM
137,CASTUL,AM
138,CATHAC,AM
139,CECREN,AM
140,CECRFI,AM
141,CECRHE,AM
142,CECRMA,AM
143,CECRME,AM
144,CECRPU,AM
145,CECRSC,AM
146,CEDAOD,AM
147,CEDGCA,AM
148,CEIBPE,AM
149,CELTSC,AM
150,CENTLO,AM
151,CESTME,AM
152,CESTSI,AM
153,CESTTO,AM
154,CHAMPI,AM
155,CHEICO,AM
156,CHIMGL,AM
157,CHIMJA,AM
158,CHIOOP,AM
159,CHLO2S,AM
160,CHOMCO,AM
161,CHRCFR,AM
162,CHRCHU,AM
163,CHRCME,AM
164,CHRCTE,AM
165,CHRYAM,AM
166,CHRYAR,AM
167,CHRYCU,AM
168,CHRYMA,AM
169,CHRYMI,AM
170,CHRYOV,AM
171,CHRYTR,AM
172,CHRYVE,AM
173,CINNNA,AM
174,CINNOP,AM
175,CINNTR,AM
176,CITHPO,AM
177,CLARBI,AM
178,CLARRA,AM
179,CLAVDE,AM
180,CLAVPR,AM
181,CLAVWE,AM
182,CLIDDI,AM
183,COLUAR,AM
184,COMPCA,AM
185,COMPUL,AM
186,CONCRH,AM
187,CORDBU,AM
188,CORDCH,AM
189,CORDCO,AM
190,CORDHE,AM
191,CORDJO,AM
192,CORDKI,AM
193,CORDNO,AM
194,CORDUC,AM
195,COUEOB,AM
196,COUEPA,AM
197,COURGU,AM
198,COUSBR,AM
199,COUSCE,AM
200,COUSDU,AM
201,COUSKL,AM
202,COUTGU,AM
203,CREMCA,AM
204,CREMGR,AM
205,CREPGO,AM
206,CREPRH,AM
207,CRYPNO,AM
208,CUPACI,AM
209,CUPALI,AM
210,CYATLA,AM
211,CYATPU,AM
212,CYBIAN,AM
213,CYBIPE,AM
214,CYMBCO,AM
215,CYPHME,AM
216,CYPHPI,AM
217,DACRGO,AM
218,DACRPE,AM
219,DALBNI,AM
220,DENBBO,AM
221,DENDAR,AM
222,DENDCA,AM
223,DENDQU,AM
224,DIALGU,AM
225,DILKPA,AM
226,DIOSAR,AM
227,DIOSCR,AM
228,DIOSEK,AM
229,DIOSPS,AM
230,DIOSSU,AM
231,DIPLPT,AM
232,DIPLPU,AM
233,DIPOCU,AM
234,DISCGU,AM
235,DRYPAM,AM
236,DRYPVA,AM
237,DUGUCO,AM
238,DUGUHA,AM
239,DUGUQU,AM
240,DUGUSP,AM
241,DUGUSU,AM
242,DULACA,AM
243,DUSSDE,AM
244,DUSSPE,AM
245,DUSSTE,AM
246,ECCLAN,AM
247,ECCLGU,AM
248,ELAEGL,AM
249,ENDLBR,AM
250,ENDLBU,AM
251,ENDLCA,AM
252,ENDLDO,AM
253,ENDLFA,AM
254,ENDLFO,AM
255,ENDLKR,AM
256,ENDLPL,AM
257,ENDLSE,AM
258,ENDLTE,AM
