"","allsp","","","","","","","","","","","","","","","","","","","","","","","","","abund"
"1","ABARJU","0.991855490109459","0.934198414709752","0.999662688603152","1.00153188397341","0.986606779896098","1.00877188945188","1.0210874035073","1.02724761796698","0.898","0.266","0.98","0.996","0.724","0.828","0.524","0.392","-0.111999573332824","-1.12316862603522","-0.0183998240364793","0.0405969311222276","-0.341172957756718","0.229007285430516","0.602377023833913","0.833513960529503","22"
"2","ABARLA","0.996762314741129","0.988176214335031","0.980436924716771","0.993486148689844","0.994780317291928","0.99806284552764","0.9986897691876","0.996076336333946","0.938","0.606","0.368","0.73","0.768","0.948","0.986","0.82","-0.0760389918854648","-0.476301816214909","-0.913885140115739","-0.350982821608839","-0.30130652925859","-0.106621072986624","-0.0760972007626943","-0.272226583118487","96"
"3","ABUTGR","0.953177016121629","0.984712943138945","0.987881963267214","0.988294121924734","0.988084416091774","0.985337167449961","0.983599816139191","0.98531707786382","0.068","0.34","0.352","0.318","0.278","0.16","0.102","0.102","-1.87092667106658","-0.933190132488271","-0.926120247590439","-1.01146188873896","-1.10670518182375","-1.47669186722478","-1.77971174895925","-1.69348968141004","255"
"4","ACALCU","0.912241337505142","0.921148739968581","0.934543287628686","0.93483326088639","0.9432438586652","0.944886178726159","0.946234161049842","0.947337727507623","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","-4.78555881132178","-6.68198290118375","-6.49921825646331","-7.29522398181375","-7.0583764976586","-7.51084228839965","-7.96520209747127","-8.30101048586888","502"
"5","ACALPU","1.57714981604008","1.33327747763849","1.39858112783029","1.35275259616486","1.36778515299337","1.39899399400572","1.45440984214217","1.45211961118227","0.014","0.046","0.006","0.012","0.002","0.002","0.002","0.002","2.64449429588422","2.15871870329418","3.00724519250784","2.84852676133695","3.09895036513341","3.55295105299909","4.26558490818078","4.54346414551013","3"
"6","ACALSD","0.884746854890176","0.776966385058921","0.803577743696205","0.84338775262615","0.882522023027876","0.903343115174294","0.918604359366239","0.932275406373428","0.022","0.002","0.002","0.002","0.002","0.002","0.002","0.002","-2.28620837521526","-7.09885207815389","-8.14313742712434","-7.70861168970333","-6.76485551919619","-6.17444874845999","-5.6983856996984","-5.08529030541514","73"
"7","ACALSH","1.11801888540074","1.08318753162546","1.06913270134884","1.08067020397445","1.07178628696509","1.05036353807514","1.05009265356016","1.05782527349092","0.204","0.108","0.112","0.042","0.042","0.092","0.066","0.026","1.36260494243103","1.61210593439334","1.6145258474925","2.16877663833107","2.13416360872791","1.68090173052104","1.84299280847793","2.32069259474803","22"
"8","ACANAN","0.619137194756073","0.751795514605337","0.802202468014634","0.954724436408065","1.02243474166817","1.02303309886275","1.0530529913836","1.04552198537221","0.022","0.016","0.022","0.554","0.748","0.686","0.356","0.384","-2.21556503986761","-2.36874712402476","-2.3443697410502","-0.600059522628528","0.338076637937815","0.389983802652598","0.922304573210342","0.843800144248352","7"
"9","ACIDNI","1.01322070615283","1.02292776693414","1.02477490933618","1.0259272444081","1.02368712906418","1.02238304752174","1.0213365181515","1.0221116900273","0.232","0.002","0.002","0.002","0.002","0.002","0.002","0.002","1.18468065946256","3.03395392142592","3.93330198413717","4.62513669179567","4.63170919127007","4.77079445521443","4.92927467910178","5.48415954655313","1348"
"10","AEGIEL","0.73902695251438","1.02809874851458","1.11401041214193","1.1665277398098","1.17907372162803","1.19092317026628","1.17340224966053","1.15895305830044","0.054","0.742","0.112","0.008","0.002","0.002","0.002","0.002","-1.8183092305687","0.336995726609843","1.58895040482743","2.65738267322264","3.16653350292215","3.65392464900197","3.56423730497296","3.49058744227897","8"
