"","allsp","","","","","","","","","","","","","","","","","","","","","","","","","abund"
"1","ABARJU","0.941377015903329","0.911356584280774","0.955705348168199","0.957153291106211","0.948966636271067","0.967743063518708","0.982806093960769","0.987229026098507","0.542","0.106","0.276","0.222","0.096","0.22","0.452","0.524","-0.636337310465765","-1.61773139058697","-1.08864920185004","-1.24416622107103","-1.65421726637096","-1.19705451946486","-0.73281732668115","-0.610036284374762","22"
"2","ABARLA","0.981005412811346","0.985153737057887","0.981820979390987","0.997138953831953","0.994664110561564","0.995699745195191","0.993622781517941","0.990102206719789","0.658","0.562","0.386","0.892","0.75","0.78","0.598","0.366","-0.479975443180248","-0.576880295548599","-0.900929347484438","-0.148873185857983","-0.337200647332357","-0.302797326879826","-0.511774954615982","-0.891893775818278","96"
"3","ABUTGR","0.951626169782763","0.98762930388642","1.00100216146946","1.00568953894229","1.00012049070369","0.998855928650403","0.997167813988835","0.997752467007572","0.064","0.406","0.944","0.562","1","0.914","0.696","0.75","-1.95950519136289","-0.82758978450522","0.0671761450091439","0.537340713305476","0.00257485435491751","-0.150621751747485","-0.387741214080456","-0.335262469843519","255"
"4","ACALCU","0.850523643804305","0.875698900421003","0.908409123101011","0.930117044433076","0.949176340673056","0.958922778700119","0.965502315707125","0.968811497018518","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","-7.75278140871694","-10.9788325929549","-10.3929184638644","-9.44193176165461","-8.06105142053218","-7.59334507677385","-7.17511519954958","-7.44667082745532","502"
"5","ACALPU","1.21636575495446","0.952052461470781","1.00183111632184","1.01344284571581","1.03800335056402","1.05162685955586","1.09434786492216","1.08932175186325","0.378","0.838","0.992","0.896","0.714","0.592","0.282","0.286","0.97620422212062","-0.302905532039103","0.0395494081252085","0.110718617176084","0.363823190080601","0.542611696200897","1.05924525474883","1.05743874792981","3"
"6","ACALSD","0.65560421766244","0.630512462056306","0.694769913322148","0.776988513137719","0.843153058239684","0.887087290626137","0.91628425088239","0.93726589334002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","-7.0863571897884","-12.3825169069916","-13.743166875309","-12.0299071741213","-9.80155611786305","-8.0711916026518","-6.79230672667031","-5.6075869724321","73"
"7","ACALSH","1.09553134361717","1.07595864855435","1.04472557875731","1.04791495222994","1.05158256419824","1.03583552040405","1.03440595960463","1.03994441636315","0.294","0.154","0.272","0.172","0.1","0.196","0.158","0.086","1.15224704020298","1.5190479182607","1.08830950701004","1.36899782738077","1.6477083863389","1.27482964026689","1.36757629932947","1.73274896374613","22"
"8","ACANAN","0.532328812323124","0.655730964371468","0.741807030912176","0.847690586136431","0.912053091465333","0.921041812920394","0.973596994351196","0.955892798130737","0.004","0.004","0.008","0.028","0.15","0.14","0.602","0.334","-2.86390669121707","-3.25195613027702","-3.05855680339653","-2.13813542729299","-1.44496085859069","-1.47395768657389","-0.528867040381091","-0.971188624580341","7"
"9","ACIDNI","1.01774004913788","1.01788231636068","1.01726577164353","1.02081394001155","1.02136741669936","1.02169981618257","1.0215405344665","1.02254900613569","0.112","0.006","0.002","0.002","0.002","0.002","0.002","0.002","1.64358282086313","2.69418090808716","3.22707520453","4.6281113364998","5.46603673066375","6.26916359214373","6.84530572183695","7.94851114750221","1348"
"10","AEGIEL","0.69065878834007","0.943795938000652","0.941904021902933","0.976342134234785","0.979829998599538","0.983736422831974","0.98506210233033","0.977716153716225","0.03","0.572","0.404","0.686","0.666","0.674","0.614","0.454","-2.20148161624693","-0.630638235133469","-0.870272673611835","-0.461940407122241","-0.463288622921598","-0.436625621684031","-0.470128855594032","-0.74432214914561","8"
"11","AEGIHA","0.974106390823995","0.977406947792765","0.938400036655604","0.947541159139635","0.95782529668199","0.973038626109416","0.971892328654671","0.979557622969231","0.576","0.412","0.004","0.004","0.008","0.04","0.022","0.05","-0.587077898465594","-0.845333268554918","-3.06819415830962","-3.04766055103735","-2.81852679056893","-2.00257218398994","-2.35896295958478","-1.90547412192001","95"
