"","allsp","","","","","","","","","abund"
"1","ABARJU","0.911027937674969","0.910244220946643","0.938923327140224","0.933992204096453","0.926035984448792","0.944590751768605","0.960498423611471","0.967765501763208","22"
"2","ABARLA","0.981005412811346","0.985153737057887","0.981820979390987","0.997138953831953","0.994664110561564","0.995699745195191","0.993622781517941","0.990102206719789","96"
"3","ABUTGR","0.951626169782763","0.98762930388642","1.00100216146946","1.00568953894229","1.00012049070369","0.998855928650403","0.997167813988835","0.997752467007572","255"
"4","ACALCU","0.850523643804305","0.875698900421003","0.908409123101011","0.930117044433076","0.949176340673056","0.958922778700119","0.965502315707125","0.968811497018518","502"
"5","ACALPU","1.21636575495446","0.952052461470781","1.00183111632184","1.01344284571581","1.03800335056402","1.05162685955586","1.09434786492216","1.08932175186325","3"
"6","ACALSD","0.65560421766244","0.630512462056306","0.694769913322148","0.776988513137719","0.843153058239684","0.887087290626137","0.91628425088239","0.93726589334002","73"
"7","ACALSH","1.09553134361717","1.07595864855435","1.04472557875731","1.04791495222994","1.05158256419824","1.03583552040405","1.03440595960463","1.03994441636315","22"
"8","ACANAN","0.532328812323124","0.655730964371468","0.741807030912176","0.847690586136431","0.912053091465333","0.921041812920394","0.973596994351196","0.955892798130737","7"
"9","ACIDNI","1.01774004913788","1.01788231636068","1.01726577164353","1.02081394001155","1.02136741669936","1.02169981618257","1.0215405344665","1.02254900613569","1348"
"10","AEGIEL","0.69065878834007","0.943795938000652","0.941904021902933","0.976342134234785","0.979829998599538","0.983736422831974","0.98506210233033","0.977716153716225","8"
"11","AEGIHA","0.974106390823995","0.977406947792765","0.938400036655604","0.947541159139635","0.95782529668199","0.973038626109416","0.971892328654671","0.979557622969231","95"
"12","AEGIIN","0.965579263659656","0.955335318471087","0.978345450295084","0.924398331125558","0.937558754636939","0.931463159650992","0.952007988418942","0.959766887072881","9"
"13","AEGIME","0.922545046828673","0.915259175208923","0.938448796123864","0.924915015445693","0.899092798146592","0.912278314288647","0.933236384002838","0.953502980667457","18"
"14","AEGIVI","0.942288355741621","0.928535521133933","0.943869186409852","0.942501497074457","0.945511502088392","0.956968460104102","0.961982999216818","0.964939514888908","68"
"15","AGONPE","1.04557052682363","1.03527653214411","1.03748985676376","1.03299634922401","1.02473241745953","1.02851583194731","1.01465824381878","1.00961143715514","31"
"16","AGONSI","0.828626955072328","1.00255192804596","0.988249507001292","1.03114967832407","1.02550568867675","1.00491096543635","1.00927034966396","1.00314822225694","22"
"17","AGOUCU","1.01519088723776","1.03129436509665","1.02371732578291","1.02740954892295","1.01781944802726","1.02738504635668","1.02656443807719","1.01725059891154","46"
"18","AGOUIS","0.995761205947012","1.00381041441622","0.99201736400957","1.00428173760558","1.00212503694732","1.00334650738686","1.00776706100898","1.00872636031314","94"
"19","AGOUVE","1.13770580495388","1.05993063204899","1.10969863210925","1.06627131788702","1.0500943349047","1.05430349298294","1.04270929806478","1.0395021459989","20"
"20","AIOUGR","1.12202004898289","0.796848034129452","0.907781469286763","0.881318215143898","0.901570317709421","0.897765237084644","0.918768775581614","0.924652284907622","4"
"21","AIOUPE","1.32805100654596","1.06283244005547","0.917194453032298","0.990676899016515","0.981725796858439","1.05142792338612","1.05323924298116","1.0432960717659","3"
"22","AIOUPS","1.06654621221016","1.04953355856968","0.997602228291082","0.9961384371202","0.956573017046568","0.967994252481987","0.981158384100992","0.966871071108806","11"
"23","AIPHUL","0.863566834541028","0.930704008746067","0.956175119180776","0.964281210665289","0.968660129942204","0.971334705272712","0.978667011750388","0.985247283568403","352"
